IdMovimiento,IdProducto,FechaMovimiento,TipoMovimiento,Cantidad,Observacion
69,635,2024-10-11,Salida,3,Venta
70,429,2025-03-16,Salida,3,Venta
71,545,2024-10-27,Entrada,170,Reposición de stock
72,800,2025-01-18,Salida,4,Muestra comercial
73,558,2024-10-24,Entrada,191,Compra proveedor
74,263,2025-05-09,Entrada,184,Devolución de cliente
75,747,2025-04-07,Salida,5,Muestra comercial
76,369,2024-03-29,Salida,4,Traslado a otra sucursal
77,443,2025-11-01,Salida,5,Producto dañado
78,711,2024-01-18,Entrada,25,Traslado entre sucursales
79,370,2025-02-23,Entrada,165,Traslado entre sucursales
80,235,2024-12-14,Entrada,37,Devolución de cliente
81,500,2024-04-14,Entrada,79,Reposición de stock
82,45,2025-12-30,Entrada,96,Reposición de stock
83,450,2024-10-22,Entrada,90,Devolución de cliente
84,657,2024-07-06,Salida,6,Producto dañado
85,63,2025-11-21,Salida,6,Venta
86,178,2024-02-25,Entrada,59,Devolución de cliente
87,792,2025-01-18,Salida,2,Producto dañado
88,451,2025-06-06,Entrada,162,Traslado entre sucursales
89,21,2025-02-05,Entrada,107,Compra proveedor
90,754,2025-01-15,Entrada,92,Traslado entre sucursales
91,130,2025-11-26,Entrada,193,Devolución de cliente
92,212,2024-01-21,Salida,10,Traslado a otra sucursal
93,301,2024-04-10,Entrada,71,Devolución de cliente
94,483,2025-08-23,Salida,6,Venta
95,38,2025-08-08,Entrada,174,Compra proveedor
96,523,2025-04-16,Entrada,64,Reposición de stock
97,319,2025-03-02,Ajuste,1,Corrección de inventario
98,119,2024-12-05,Ajuste,8,Diferencia en auditoría
99,250,2024-12-07,Salida,7,Venta
100,533,2025-07-17,Salida,5,Muestra comercial
101,795,2025-05-05,Salida,1,Venta
102,680,2025-01-24,Salida,10,Traslado a otra sucursal
103,797,2025-09-05,Salida,9,Muestra comercial
104,164,2024-04-17,Ajuste,15,Conteo físico
105,319,2025-04-17,Salida,1,Venta
106,96,2024-04-03,Entrada,11,Reposición de stock
107,421,2025-06-03,Salida,6,Producto dañado
108,731,2024-06-22,Entrada,145,Reposición de stock
109,117,2025-01-15,Entrada,148,Devolución de cliente
110,226,2025-01-31,Entrada,95,Traslado entre sucursales
111,291,2024-03-27,Salida,6,Venta
112,375,2025-11-03,Ajuste,11,Corrección de inventario
113,337,2025-11-21,Salida,6,Traslado a otra sucursal
114,428,2024-01-24,Ajuste,12,Corrección de inventario
115,412,2024-01-04,Entrada,179,Devolución de cliente
116,681,2025-06-28,Entrada,113,Traslado entre sucursales
117,239,2024-06-25,Salida,8,Traslado a otra sucursal
118,384,2024-02-29,Entrada,66,Traslado entre sucursales
119,699,2025-02-15,Salida,8,Muestra comercial
120,203,2025-07-08,Entrada,175,Devolución de cliente
121,711,2024-07-09,Entrada,175,Devolución de cliente
122,719,2025-09-19,Salida,9,Producto dañado
123,298,2025-07-17,Salida,8,Venta
124,138,2024-10-07,Entrada,183,Devolución de cliente
125,560,2025-09-23,Salida,10,Traslado a otra sucursal
126,688,2025-03-29,Salida,6,Traslado a otra sucursal
127,772,2025-01-07,Salida,9,Traslado a otra sucursal
128,61,2025-10-30,Ajuste,3,Conteo físico
129,607,2025-12-06,Ajuste,5,Producto vencido/obsoleto
130,72,2024-06-30,Ajuste,17,Conteo físico
131,17,2025-09-25,Salida,8,Venta
132,706,2025-04-09,Salida,3,Traslado a otra sucursal
133,322,2025-10-11,Entrada,16,Devolución de cliente
134,345,2025-01-16,Entrada,28,Compra proveedor
135,640,2024-05-03,Entrada,189,Traslado entre sucursales
136,688,2024-10-12,Entrada,198,Compra proveedor
137,210,2025-03-26,Salida,5,Venta
138,61,2024-10-20,Entrada,33,Reposición de stock
139,628,2025-09-07,Salida,3,Muestra comercial
140,717,2025-07-09,Salida,8,Traslado a otra sucursal
141,226,2024-10-14,Entrada,140,Devolución de cliente
142,137,2025-12-12,Entrada,21,Devolución de cliente
143,98,2024-08-10,Entrada,104,Reposición de stock
144,523,2024-12-22,Salida,1,Producto dañado
145,411,2024-08-02,Entrada,137,Reposición de stock
146,161,2025-06-21,Salida,7,Traslado a otra sucursal
147,484,2025-06-02,Entrada,60,Devolución de cliente
148,362,2025-08-07,Salida,2,Producto dañado
149,283,2024-12-22,Salida,8,Producto dañado
150,386,2025-08-30,Salida,4,Producto dañado
151,448,2024-01-02,Salida,5,Producto dañado
152,142,2025-07-19,Salida,10,Traslado a otra sucursal
153,718,2024-06-23,Entrada,34,Reposición de stock
154,479,2025-03-23,Salida,7,Traslado a otra sucursal
155,104,2024-06-08,Entrada,140,Devolución de cliente
156,326,2024-08-14,Salida,7,Muestra comercial
157,285,2024-06-01,Entrada,194,Devolución de cliente
158,166,2025-05-01,Salida,4,Muestra comercial
159,662,2025-05-30,Salida,2,Venta
160,205,2025-03-30,Entrada,175,Compra proveedor
161,551,2025-03-21,Entrada,88,Devolución de cliente
162,587,2024-06-25,Salida,6,Venta
163,492,2024-03-07,Ajuste,6,Producto vencido/obsoleto
164,158,2024-09-15,Salida,2,Venta
165,587,2024-02-21,Entrada,62,Compra proveedor
166,262,2024-09-15,Salida,5,Muestra comercial
167,187,2024-09-13,Entrada,128,Devolución de cliente
168,381,2024-09-05,Salida,7,Venta
169,773,2024-08-16,Salida,2,Producto dañado
170,768,2024-04-20,Salida,8,Venta
171,231,2024-08-02,Entrada,90,Reposición de stock
172,422,2025-10-29,Ajuste,13,Corrección de inventario
173,320,2025-03-03,Entrada,141,Reposición de stock
174,694,2025-03-23,Salida,9,Muestra comercial
175,282,2024-07-01,Salida,7,Traslado a otra sucursal
176,677,2024-02-20,Salida,8,Traslado a otra sucursal
177,571,2025-06-04,Salida,2,Producto dañado
178,442,2024-01-10,Entrada,170,Reposición de stock
179,648,2024-06-10,Salida,8,Traslado a otra sucursal
180,308,2025-03-20,Salida,4,Traslado a otra sucursal
181,659,2025-02-06,Salida,5,Venta
182,392,2025-03-28,Salida,9,Traslado a otra sucursal
183,345,2024-03-10,Entrada,181,Compra proveedor
184,294,2024-02-14,Salida,5,Traslado a otra sucursal
185,119,2024-04-03,Salida,2,Producto dañado
186,26,2025-01-12,Salida,10,Muestra comercial
187,652,2025-05-28,Salida,2,Venta
188,536,2025-04-20,Entrada,123,Reposición de stock
189,110,2025-03-21,Ajuste,13,Corrección de inventario
190,330,2025-05-06,Salida,7,Muestra comercial
191,532,2025-07-23,Entrada,38,Compra proveedor
192,668,2025-04-04,Entrada,61,Devolución de cliente
193,452,2025-02-03,Salida,5,Producto dañado
194,157,2025-09-09,Salida,7,Traslado a otra sucursal
195,280,2024-08-31,Entrada,14,Reposición de stock
196,84,2024-02-04,Salida,5,Muestra comercial
197,728,2024-03-05,Entrada,37,Reposición de stock
198,309,2025-06-02,Salida,1,Muestra comercial
199,373,2024-05-09,Salida,2,Venta
200,28,2024-06-03,Salida,2,Venta
201,567,2024-07-18,Salida,2,Traslado a otra sucursal
202,297,2025-03-02,Entrada,160,Devolución de cliente
203,321,2024-02-18,Salida,2,Muestra comercial
204,313,2025-09-03,Entrada,38,Compra proveedor
205,439,2024-03-06,Salida,4,Producto dañado
206,694,2025-05-23,Entrada,157,Reposición de stock
207,22,2024-10-15,Salida,6,Producto dañado
208,564,2024-10-08,Salida,9,Venta
209,97,2025-06-12,Salida,4,Producto dañado
210,118,2024-11-20,Salida,9,Producto dañado
211,737,2024-11-11,Entrada,115,Traslado entre sucursales
212,610,2025-09-04,Salida,7,Muestra comercial
213,264,2025-09-18,Salida,3,Traslado a otra sucursal
214,572,2024-01-16,Entrada,190,Devolución de cliente
215,370,2024-09-22,Salida,4,Muestra comercial
216,474,2024-06-27,Salida,2,Producto dañado
217,677,2024-04-16,Entrada,174,Reposición de stock
218,45,2024-07-14,Ajuste,13,Diferencia en auditoría
219,702,2025-03-11,Entrada,180,Traslado entre sucursales
220,413,2025-11-05,Salida,9,Muestra comercial
221,193,2025-02-03,Ajuste,17,Producto vencido/obsoleto
222,570,2025-04-21,Entrada,30,Devolución de cliente
223,700,2024-03-18,Salida,3,Producto dañado
224,275,2025-04-15,Salida,5,Producto dañado
225,189,2025-07-12,Salida,3,Venta
226,160,2025-08-04,Salida,8,Producto dañado
227,105,2025-06-21,Entrada,193,Devolución de cliente
228,337,2024-10-22,Entrada,78,Devolución de cliente
229,405,2024-01-13,Ajuste,8,Diferencia en auditoría
230,478,2024-01-13,Entrada,171,Reposición de stock
231,1,2024-04-06,Ajuste,8,Diferencia en auditoría
232,260,2024-09-03,Entrada,35,Reposición de stock
233,727,2025-03-05,Salida,9,Venta
234,253,2025-04-04,Entrada,24,Traslado entre sucursales
235,588,2024-02-02,Salida,2,Venta
236,644,2025-12-29,Salida,8,Traslado a otra sucursal
237,409,2024-06-07,Salida,8,Producto dañado
238,355,2025-02-12,Entrada,33,Traslado entre sucursales
239,614,2025-03-20,Ajuste,10,Producto vencido/obsoleto
240,49,2025-05-27,Entrada,36,Compra proveedor
241,342,2024-09-17,Salida,5,Producto dañado
242,441,2025-06-20,Entrada,128,Reposición de stock
243,778,2025-08-03,Entrada,38,Devolución de cliente
244,117,2024-09-11,Salida,3,Traslado a otra sucursal
245,139,2024-08-02,Salida,6,Traslado a otra sucursal
246,342,2025-04-01,Salida,1,Traslado a otra sucursal
247,60,2024-06-27,Entrada,27,Reposición de stock
248,32,2024-01-19,Salida,7,Venta
249,424,2024-08-25,Salida,1,Muestra comercial
250,244,2024-12-13,Entrada,135,Reposición de stock
251,405,2024-02-28,Salida,9,Venta
252,331,2024-02-08,Salida,7,Traslado a otra sucursal
253,227,2024-12-09,Ajuste,1,Conteo físico
254,57,2025-03-09,Salida,8,Muestra comercial
255,383,2024-04-11,Salida,10,Producto dañado
256,13,2025-01-27,Salida,7,Venta
257,512,2025-07-09,Salida,2,Muestra comercial
258,101,2025-02-18,Salida,8,Muestra comercial
259,517,2025-09-04,Entrada,197,Reposición de stock
260,786,2024-11-07,Entrada,117,Traslado entre sucursales
261,685,2024-01-03,Salida,4,Producto dañado
262,591,2025-04-24,Entrada,85,Compra proveedor
263,340,2024-11-10,Salida,10,Muestra comercial
264,580,2025-11-06,Entrada,127,Devolución de cliente
265,639,2025-05-04,Entrada,146,Compra proveedor
266,722,2024-10-23,Ajuste,1,Corrección de inventario
267,329,2025-12-27,Salida,1,Traslado a otra sucursal
268,32,2025-10-25,Entrada,77,Devolución de cliente
269,751,2025-01-25,Salida,9,Producto dañado
270,630,2025-08-23,Entrada,35,Devolución de cliente
271,450,2025-06-12,Salida,6,Traslado a otra sucursal
272,460,2024-06-28,Salida,5,Producto dañado
273,20,2025-06-24,Entrada,136,Compra proveedor
274,126,2024-06-16,Salida,1,Muestra comercial
275,561,2025-11-28,Ajuste,3,Producto vencido/obsoleto
276,338,2024-03-13,Entrada,44,Traslado entre sucursales
277,555,2025-12-18,Entrada,41,Reposición de stock
278,520,2024-05-26,Salida,2,Traslado a otra sucursal
279,158,2024-11-10,Entrada,10,Compra proveedor
280,265,2024-04-09,Salida,3,Muestra comercial
281,649,2025-06-18,Salida,6,Traslado a otra sucursal
282,190,2024-11-17,Salida,7,Traslado a otra sucursal
283,693,2025-08-03,Entrada,74,Devolución de cliente
284,139,2025-09-21,Salida,3,Traslado a otra sucursal
285,712,2025-12-14,Entrada,41,Devolución de cliente
286,798,2024-11-09,Salida,5,Producto dañado
287,101,2024-10-15,Ajuste,15,Corrección de inventario
288,454,2024-04-19,Entrada,112,Devolución de cliente
289,166,2024-07-31,Entrada,11,Compra proveedor
290,684,2025-02-14,Entrada,73,Reposición de stock
291,680,2024-02-23,Salida,7,Muestra comercial
292,120,2024-02-01,Entrada,61,Devolución de cliente
293,602,2025-03-22,Salida,8,Producto dañado
294,717,2024-05-10,Salida,2,Producto dañado
295,429,2024-10-15,Entrada,40,Devolución de cliente
296,448,2024-11-29,Entrada,58,Reposición de stock
297,311,2025-01-23,Salida,2,Venta
298,461,2024-03-05,Salida,7,Producto dañado
299,507,2024-09-21,Entrada,69,Devolución de cliente
300,524,2025-03-18,Entrada,11,Reposición de stock
301,392,2024-12-17,Entrada,41,Compra proveedor
302,402,2025-11-06,Entrada,115,Devolución de cliente
303,295,2024-11-28,Entrada,129,Traslado entre sucursales
304,794,2025-08-26,Salida,10,Traslado a otra sucursal
305,178,2024-09-17,Salida,1,Muestra comercial
306,727,2024-01-26,Entrada,147,Reposición de stock
307,384,2024-08-06,Entrada,15,Reposición de stock
308,421,2024-07-20,Salida,2,Venta
309,653,2024-08-14,Entrada,61,Reposición de stock
310,381,2025-08-13,Salida,8,Muestra comercial
311,375,2025-02-02,Entrada,27,Traslado entre sucursales
312,532,2024-04-27,Salida,8,Muestra comercial
313,678,2024-12-25,Salida,3,Traslado a otra sucursal
314,642,2025-08-28,Salida,7,Producto dañado
315,257,2025-01-29,Entrada,136,Reposición de stock
316,39,2025-05-26,Salida,4,Venta
317,163,2024-02-27,Entrada,30,Devolución de cliente
318,243,2025-05-25,Salida,8,Muestra comercial
319,546,2024-03-19,Entrada,26,Devolución de cliente
320,684,2024-07-31,Salida,7,Traslado a otra sucursal
321,541,2024-11-05,Entrada,46,Traslado entre sucursales
322,671,2025-03-14,Entrada,21,Compra proveedor
323,499,2024-11-28,Entrada,198,Reposición de stock
324,641,2024-10-12,Entrada,69,Traslado entre sucursales
325,191,2025-04-23,Entrada,126,Traslado entre sucursales
326,778,2024-05-17,Salida,7,Venta
327,196,2024-11-06,Ajuste,9,Corrección de inventario
328,655,2024-04-12,Salida,7,Traslado a otra sucursal
329,635,2024-11-22,Entrada,123,Reposición de stock
330,648,2025-01-15,Entrada,69,Devolución de cliente
331,306,2024-08-01,Salida,6,Muestra comercial
332,587,2024-12-30,Salida,7,Venta
333,11,2025-08-12,Salida,1,Muestra comercial
334,646,2025-10-25,Entrada,63,Reposición de stock
335,665,2025-07-17,Salida,4,Muestra comercial
336,38,2025-04-25,Salida,4,Producto dañado
337,484,2024-01-01,Salida,5,Traslado a otra sucursal
338,652,2025-03-29,Salida,10,Traslado a otra sucursal
339,292,2025-07-01,Salida,3,Traslado a otra sucursal
340,319,2025-02-11,Entrada,34,Traslado entre sucursales
341,357,2024-07-16,Salida,3,Muestra comercial
342,750,2024-10-19,Entrada,160,Devolución de cliente
343,99,2024-11-06,Entrada,141,Reposición de stock
344,277,2025-10-19,Salida,5,Producto dañado
345,262,2025-11-05,Ajuste,1,Corrección de inventario
346,339,2024-08-22,Entrada,60,Reposición de stock
347,270,2024-12-16,Entrada,175,Traslado entre sucursales
348,289,2024-01-14,Salida,5,Traslado a otra sucursal
349,218,2025-01-09,Entrada,104,Traslado entre sucursales
350,123,2025-06-04,Entrada,74,Compra proveedor
351,593,2025-04-01,Salida,6,Venta
352,352,2025-03-06,Ajuste,9,Corrección de inventario
353,487,2025-05-25,Entrada,44,Devolución de cliente
354,265,2025-09-14,Salida,4,Traslado a otra sucursal
355,253,2024-02-04,Entrada,144,Devolución de cliente
356,134,2025-07-02,Salida,8,Producto dañado
357,511,2025-01-17,Salida,4,Traslado a otra sucursal
358,436,2025-06-14,Ajuste,7,Conteo físico
359,729,2024-12-17,Entrada,80,Traslado entre sucursales
360,121,2025-05-12,Entrada,145,Devolución de cliente
361,647,2024-04-08,Salida,3,Muestra comercial
362,130,2024-11-06,Entrada,95,Reposición de stock
363,81,2025-05-05,Entrada,111,Devolución de cliente
364,792,2024-12-18,Entrada,135,Reposición de stock
365,206,2024-07-22,Salida,2,Muestra comercial
366,793,2024-08-17,Salida,2,Producto dañado
367,154,2024-04-14,Entrada,153,Traslado entre sucursales
368,371,2025-12-02,Entrada,36,Compra proveedor
369,305,2025-10-02,Entrada,128,Reposición de stock
370,277,2024-12-16,Entrada,149,Compra proveedor
371,193,2025-05-16,Entrada,62,Traslado entre sucursales
372,694,2025-08-18,Entrada,196,Compra proveedor
373,686,2024-03-25,Salida,1,Traslado a otra sucursal
374,17,2025-06-23,Ajuste,15,Producto vencido/obsoleto
375,282,2024-01-30,Entrada,154,Traslado entre sucursales
376,541,2024-02-12,Entrada,128,Devolución de cliente
377,758,2024-08-02,Entrada,17,Traslado entre sucursales
378,135,2025-05-13,Entrada,10,Reposición de stock
379,430,2025-12-15,Entrada,36,Reposición de stock
380,599,2024-02-13,Entrada,44,Reposición de stock
381,790,2025-05-18,Entrada,141,Reposición de stock
382,135,2025-05-30,Salida,7,Producto dañado
383,273,2024-03-28,Entrada,127,Traslado entre sucursales
384,584,2024-04-10,Salida,9,Traslado a otra sucursal
385,531,2024-08-08,Entrada,33,Traslado entre sucursales
386,237,2024-11-16,Entrada,22,Reposición de stock
387,186,2024-02-05,Entrada,132,Reposición de stock
388,673,2025-12-15,Salida,4,Muestra comercial
389,309,2025-10-10,Entrada,152,Reposición de stock
390,795,2025-04-26,Entrada,98,Devolución de cliente
391,343,2024-05-01,Salida,8,Venta
392,121,2024-12-08,Salida,9,Traslado a otra sucursal
393,701,2025-10-25,Entrada,78,Compra proveedor
394,506,2025-08-14,Salida,10,Venta
395,133,2024-12-03,Entrada,117,Compra proveedor
396,443,2024-09-02,Salida,6,Muestra comercial
397,151,2025-03-13,Entrada,86,Compra proveedor
398,452,2024-01-18,Entrada,39,Reposición de stock
399,508,2025-04-04,Entrada,40,Traslado entre sucursales
400,38,2024-09-01,Salida,3,Venta
401,727,2024-10-19,Salida,6,Venta
402,241,2025-11-16,Entrada,75,Reposición de stock
403,455,2025-01-31,Entrada,57,Traslado entre sucursales
404,118,2024-12-23,Salida,8,Traslado a otra sucursal
405,62,2025-03-10,Salida,2,Muestra comercial
406,682,2025-08-16,Salida,10,Traslado a otra sucursal
407,103,2025-12-13,Salida,7,Muestra comercial
408,256,2025-05-30,Ajuste,4,Corrección de inventario
409,451,2024-12-16,Entrada,93,Compra proveedor
410,451,2025-09-18,Salida,3,Producto dañado
411,745,2024-03-07,Entrada,165,Compra proveedor
412,114,2024-09-13,Entrada,169,Devolución de cliente
413,654,2025-05-27,Entrada,18,Reposición de stock
414,128,2024-11-25,Salida,3,Producto dañado
415,549,2025-09-25,Entrada,141,Traslado entre sucursales
416,261,2025-08-22,Salida,8,Traslado a otra sucursal
417,301,2024-09-25,Salida,4,Traslado a otra sucursal
418,602,2024-07-15,Entrada,64,Traslado entre sucursales
419,178,2025-02-08,Salida,5,Muestra comercial
420,487,2025-02-09,Entrada,103,Compra proveedor
421,436,2025-10-22,Entrada,144,Traslado entre sucursales
422,699,2024-07-30,Entrada,79,Devolución de cliente
423,132,2025-01-03,Ajuste,15,Corrección de inventario
424,141,2024-06-30,Salida,9,Producto dañado
425,3,2025-11-20,Salida,7,Traslado a otra sucursal
426,71,2024-09-23,Entrada,37,Traslado entre sucursales
427,564,2025-05-26,Entrada,73,Traslado entre sucursales
428,287,2024-12-20,Salida,1,Venta
429,587,2024-02-15,Entrada,154,Traslado entre sucursales
430,541,2024-03-21,Salida,10,Muestra comercial
431,198,2024-09-04,Salida,9,Producto dañado
432,466,2024-02-17,Salida,5,Producto dañado
433,786,2024-04-30,Entrada,101,Traslado entre sucursales
434,727,2024-04-13,Salida,10,Producto dañado
435,289,2024-10-07,Entrada,32,Devolución de cliente
436,798,2024-02-14,Entrada,107,Traslado entre sucursales
437,589,2024-07-10,Salida,6,Producto dañado
438,254,2025-10-02,Entrada,171,Traslado entre sucursales
439,184,2025-08-14,Salida,2,Traslado a otra sucursal
440,32,2024-09-04,Entrada,141,Reposición de stock
441,140,2025-07-20,Ajuste,14,Diferencia en auditoría
442,170,2024-02-12,Entrada,32,Compra proveedor
443,666,2024-11-21,Salida,1,Venta
444,189,2024-05-11,Entrada,186,Compra proveedor
445,519,2025-12-03,Entrada,114,Devolución de cliente
446,556,2025-11-05,Entrada,54,Devolución de cliente
447,460,2024-06-17,Entrada,56,Devolución de cliente
448,311,2025-01-29,Entrada,92,Devolución de cliente
449,414,2025-01-13,Salida,2,Producto dañado
450,621,2025-04-12,Salida,2,Venta
451,582,2024-09-18,Salida,3,Producto dañado
452,330,2025-02-21,Entrada,35,Compra proveedor
453,185,2025-12-23,Ajuste,14,Producto vencido/obsoleto
454,325,2024-02-26,Entrada,80,Compra proveedor
455,381,2024-12-21,Entrada,49,Reposición de stock
456,472,2025-10-30,Salida,6,Producto dañado
457,329,2025-12-27,Salida,6,Venta
458,362,2025-12-29,Salida,7,Producto dañado
459,779,2025-07-21,Salida,6,Muestra comercial
460,281,2024-05-21,Salida,5,Venta
461,711,2024-07-18,Salida,7,Venta
462,42,2025-06-25,Entrada,148,Devolución de cliente
463,421,2025-07-24,Salida,3,Traslado a otra sucursal
464,106,2025-11-27,Entrada,182,Reposición de stock
465,657,2025-09-30,Salida,1,Traslado a otra sucursal
466,53,2024-08-18,Entrada,70,Devolución de cliente
467,387,2025-06-28,Salida,3,Traslado a otra sucursal
468,541,2025-08-12,Entrada,132,Traslado entre sucursales
469,5,2024-08-25,Salida,5,Muestra comercial
470,36,2025-01-07,Entrada,42,Reposición de stock
471,133,2025-07-30,Salida,9,Producto dañado
472,667,2024-01-08,Salida,8,Traslado a otra sucursal
473,10,2024-12-11,Salida,7,Producto dañado
474,581,2024-01-29,Salida,1,Venta
475,481,2024-03-19,Entrada,112,Traslado entre sucursales
476,239,2024-09-24,Salida,2,Muestra comercial
477,552,2025-07-26,Ajuste,19,Producto vencido/obsoleto
478,544,2025-09-09,Salida,8,Traslado a otra sucursal
479,442,2024-03-18,Entrada,140,Traslado entre sucursales
480,730,2024-05-09,Salida,4,Traslado a otra sucursal
481,227,2024-09-03,Entrada,15,Reposición de stock
482,281,2024-10-20,Entrada,145,Reposición de stock
483,308,2025-11-20,Salida,7,Producto dañado
484,779,2025-08-10,Salida,3,Muestra comercial
485,466,2025-04-20,Salida,7,Venta
486,100,2025-04-22,Ajuste,11,Corrección de inventario
487,652,2025-06-03,Salida,8,Traslado a otra sucursal
488,237,2024-10-04,Entrada,166,Compra proveedor
489,337,2024-01-07,Salida,6,Muestra comercial
490,613,2024-04-25,Ajuste,11,Producto vencido/obsoleto
491,735,2024-12-03,Salida,3,Traslado a otra sucursal
492,24,2025-08-26,Salida,2,Muestra comercial
493,556,2024-11-17,Ajuste,17,Conteo físico
494,3,2025-01-17,Entrada,114,Traslado entre sucursales
495,340,2024-09-16,Salida,2,Producto dañado
496,713,2025-07-28,Salida,2,Muestra comercial
497,590,2024-09-19,Ajuste,1,Producto vencido/obsoleto
498,427,2024-01-26,Ajuste,9,Conteo físico
499,377,2024-02-20,Salida,4,Muestra comercial
500,98,2025-08-31,Ajuste,3,Producto vencido/obsoleto
501,357,2024-04-10,Entrada,29,Reposición de stock
502,461,2024-08-29,Ajuste,18,Producto vencido/obsoleto
503,531,2024-12-14,Ajuste,16,Producto vencido/obsoleto
504,419,2025-09-26,Salida,4,Venta
505,26,2025-07-09,Salida,10,Venta
506,150,2025-03-25,Entrada,114,Reposición de stock
507,606,2024-10-30,Entrada,10,Compra proveedor
508,731,2025-07-11,Entrada,75,Reposición de stock
509,607,2025-11-26,Salida,3,Venta
510,773,2024-01-28,Salida,6,Producto dañado
511,19,2024-03-02,Entrada,70,Devolución de cliente
512,603,2024-04-18,Ajuste,7,Conteo físico
513,655,2025-12-12,Entrada,68,Devolución de cliente
514,102,2025-03-25,Salida,2,Producto dañado
515,446,2024-11-19,Ajuste,6,Diferencia en auditoría
516,483,2025-12-18,Entrada,107,Reposición de stock
517,189,2025-07-02,Entrada,170,Compra proveedor
518,464,2025-07-28,Ajuste,4,Conteo físico
519,765,2024-09-03,Salida,6,Traslado a otra sucursal
520,86,2025-09-18,Salida,7,Muestra comercial
521,484,2025-01-21,Salida,10,Muestra comercial
522,509,2024-07-09,Ajuste,10,Conteo físico
523,615,2025-07-24,Entrada,105,Devolución de cliente
524,611,2025-10-07,Salida,4,Traslado a otra sucursal
525,457,2025-12-07,Salida,7,Muestra comercial
526,448,2025-07-05,Salida,3,Traslado a otra sucursal
527,234,2024-12-19,Salida,6,Venta
528,73,2024-11-09,Entrada,56,Reposición de stock
529,646,2025-11-16,Salida,7,Venta
530,594,2024-02-07,Salida,4,Venta
531,539,2025-10-09,Entrada,98,Reposición de stock
