IdVenta,FechaVenta,IdCliente,IdEmpleado,IdMetodoPago,Total
90,2025-02-01,2486,30,3,23270000
91,2025-06-24,959,35,6,26033000
92,2025-07-25,2276,34,3,3092000
93,2024-05-01,1936,34,6,7957000
94,2025-09-21,298,24,2,31477000
95,2025-01-14,2423,28,1,3290000
96,2025-01-06,1858,5,3,4712000
97,2025-04-10,1545,2,3,65064000
98,2024-08-30,519,2,2,506000
99,2024-05-15,1768,45,6,43247000
100,2025-04-10,2585,34,3,15539000
101,2025-07-26,766,25,3,5615000
102,2024-11-05,323,36,3,20453000
103,2025-08-08,1510,9,3,899000
104,2025-04-17,1480,22,3,6632000
105,2024-11-17,483,30,6,13764000
106,2025-04-12,1192,46,3,1385000
107,2025-11-18,566,32,6,4704000
108,2025-01-29,2467,12,3,35632000
109,2024-04-08,2220,44,3,1665000
110,2024-05-28,1149,6,3,8534000
111,2025-12-30,2426,26,1,2305000
112,2025-03-22,1091,12,1,7627000
113,2024-05-24,2471,31,6,13152000
114,2025-06-08,2407,5,6,24482000
115,2024-02-24,2897,17,6,15733000
116,2024-09-29,541,7,3,12413000
117,2024-12-20,2790,19,6,6816000
118,2025-05-12,186,21,6,23384000
119,2025-06-01,518,1,3,21800000
120,2024-05-24,518,24,6,386000
121,2024-01-01,2910,37,2,10458000
122,2024-02-20,260,41,6,581000
123,2024-08-12,2885,22,6,2253000
124,2024-10-08,217,30,1,43500000
125,2024-08-04,558,18,6,17723000
126,2024-06-30,2061,11,3,33800000
127,2025-09-17,1344,47,6,5631000
128,2024-01-06,240,6,6,7537000
129,2025-06-16,2671,34,1,8207000
130,2024-06-13,2822,17,6,12920000
131,2024-09-03,370,9,6,35729000
132,2024-03-15,1596,35,6,14884000
133,2024-01-07,1973,5,2,1834000
134,2024-12-25,2304,42,3,4616000
135,2024-04-03,476,37,6,5536000
136,2024-01-02,2501,12,6,7878000
137,2024-04-21,2691,6,6,24181000
138,2024-07-09,1751,6,3,39558000
139,2025-01-06,932,29,2,22740000
140,2025-08-06,558,13,2,37666000
141,2024-02-03,1894,5,6,10724000
142,2025-08-30,1286,44,3,14807000
143,2024-01-05,1982,17,3,16897000
144,2025-05-31,2352,20,3,11112000
145,2025-12-29,1341,45,6,3672000
146,2024-08-20,2646,10,3,29372000
147,2025-06-18,1919,27,3,2000000
148,2025-07-22,2348,14,6,19807000
149,2024-12-18,539,39,6,17638000
150,2024-10-12,1935,50,3,29084000
151,2025-02-27,361,40,3,38256000
152,2024-05-24,1943,13,6,31654000
153,2025-07-05,339,14,3,6934000
154,2024-02-06,1057,22,3,9654000
155,2024-06-06,1441,50,3,18216000
156,2025-11-10,2502,26,1,23632000
157,2025-12-02,751,5,6,6873000
158,2024-10-30,874,47,6,44879000
159,2025-03-24,1049,34,1,19395000
160,2024-12-11,621,27,3,5910000
161,2024-03-02,1662,18,3,655000
162,2025-03-21,160,48,6,11651000
163,2025-04-03,794,38,3,40919000
164,2024-08-12,2940,17,6,53065000
165,2025-07-08,2062,13,3,16322000
166,2024-11-06,725,21,1,30325000
167,2025-01-26,2584,20,6,17384000
168,2024-05-21,2213,4,6,26254000
169,2024-12-08,218,29,6,4774000
170,2024-10-10,2887,4,6,3671000
171,2025-01-03,1840,40,6,28282000
172,2024-12-26,328,24,6,4233000
173,2024-06-12,844,37,1,8111000
174,2024-01-10,2434,3,3,36362000
175,2024-12-07,1330,7,2,36295000
176,2025-05-20,2577,45,6,21927000
177,2024-01-29,2729,39,3,11689000
178,2024-08-27,409,6,3,3888000
179,2025-04-18,2079,25,2,7035000
180,2025-09-07,2813,2,1,12826000
181,2024-12-02,1209,46,6,18182000
182,2025-11-29,1594,4,1,4576000
183,2024-06-21,2597,2,6,33827000
184,2025-09-27,1520,15,6,10120000
185,2024-10-01,2862,6,1,10469000
186,2024-01-01,339,43,1,36296000
187,2024-07-05,1793,21,3,1574000
188,2024-12-31,244,1,1,4740000
189,2025-03-03,2866,4,2,15684000
190,2024-11-23,455,22,1,10282000
191,2024-07-06,1422,42,3,15160000
192,2024-09-22,1803,41,3,4421000
193,2024-12-13,132,29,6,12709000
194,2024-02-14,2017,7,6,885000
195,2025-12-22,784,9,6,7492000
196,2025-09-01,2256,4,6,33129000
197,2025-12-26,2417,44,6,4492000
198,2025-10-21,115,15,3,2227000
199,2024-02-19,40,26,6,27461000
200,2025-11-24,2548,14,6,7326000
201,2024-01-13,833,45,3,11127000
202,2024-05-01,13,18,6,8164000
203,2024-05-09,129,14,6,8349000
204,2024-02-16,2075,40,6,13386000
205,2024-03-06,295,35,6,24218000
206,2025-10-03,2513,7,1,20967000
207,2025-10-31,1380,40,3,32897000
208,2024-06-27,2235,23,6,2285000
209,2024-09-06,1532,44,3,4838000
210,2024-12-14,601,3,6,13380000
211,2025-02-01,290,3,2,2840000
212,2025-02-21,1995,37,3,14184000
213,2024-01-14,2639,2,6,457000
214,2025-08-07,1756,36,2,4065000
215,2024-03-16,2240,25,6,4533000
216,2025-05-03,1077,3,1,18758000
217,2025-05-05,2052,18,1,12821000
218,2024-08-11,2713,13,3,14767000
219,2024-10-22,1257,38,6,4942000
220,2024-08-18,85,1,6,9320000
221,2025-05-17,1878,25,1,22735000
222,2024-12-08,1344,1,1,22380000
223,2024-06-13,2593,23,3,5611000
224,2024-03-15,2021,14,6,8765000
225,2024-11-16,1045,9,6,3190000
226,2024-07-07,1171,7,6,11930000
227,2025-07-04,1044,12,3,15426000
228,2024-03-03,2572,12,3,7263000
229,2025-12-20,613,15,1,7524000
230,2024-11-11,1356,7,2,4859000
231,2024-01-16,131,37,2,10708000
232,2025-10-20,1728,44,3,18610000
233,2024-12-30,1001,1,3,4362000
234,2025-07-23,1696,33,6,8089000
235,2024-09-05,58,10,3,15744000
236,2024-03-31,1573,26,6,17018000
237,2024-08-13,558,40,3,56147000
238,2024-10-15,2779,22,6,30206000
239,2024-12-08,2305,36,3,8946000
240,2025-04-06,1325,37,1,9328000
241,2024-03-30,701,38,3,4165000
242,2025-03-09,1277,11,6,7864000
243,2024-02-17,946,16,6,2701000
244,2025-11-18,734,1,1,26179000
245,2025-04-13,1516,23,3,8439000
246,2024-07-10,319,17,6,20603000
247,2025-04-19,102,45,3,9774000
248,2024-05-09,5,29,2,82000
249,2024-04-03,1411,11,1,4212000
250,2025-12-31,2256,1,1,23817000
251,2024-07-12,1768,45,1,597000
252,2024-04-11,2651,39,1,7607000
253,2024-03-10,1445,34,2,2944000
254,2025-06-18,2347,32,3,20035000
255,2025-12-03,1500,37,3,32518000
256,2025-03-20,436,50,3,4515000
257,2025-05-30,1789,14,3,1720000
258,2025-01-15,1362,36,3,1220000
259,2024-03-24,2992,38,6,16718000
260,2025-08-05,1900,45,6,19515000
261,2024-06-20,2884,45,2,43463000
262,2025-01-25,2278,34,3,6365000
263,2025-12-26,207,49,6,2560000
264,2024-08-30,1961,35,3,37055000
265,2024-08-09,276,36,6,11192000
266,2025-09-15,634,33,3,13877000
267,2025-05-06,707,33,6,7540000
268,2024-12-05,1274,4,3,3176000
269,2025-06-10,566,11,6,3467000
270,2024-06-15,5,4,1,3554000
271,2025-07-18,876,40,6,11342000
272,2025-07-03,523,41,1,4855000
273,2024-05-18,2714,10,3,4849000
274,2024-09-15,364,18,6,1342000
275,2025-05-13,1142,42,1,634000
276,2024-05-14,2150,48,3,2479000
277,2024-03-08,1727,24,3,19195000
278,2025-09-08,2911,13,3,5329000
279,2025-11-20,519,48,2,8912000
280,2024-05-10,148,41,1,11810000
281,2024-02-21,1135,46,1,4077000
282,2024-08-12,538,9,6,27618000
283,2025-05-24,1472,9,2,7091000
284,2024-09-06,1528,46,1,10345000
285,2024-02-12,536,33,2,24585000
286,2025-03-03,1375,4,6,53266000
287,2024-09-16,1622,13,2,14797000
288,2025-11-29,236,23,3,5160000
289,2024-08-24,1803,30,6,4286000
290,2024-12-30,1630,38,2,9420000
291,2025-09-17,2201,15,1,26232000
292,2024-03-13,2801,2,1,8956000
293,2025-09-04,368,27,2,15931000
294,2025-04-25,1223,25,3,636000
295,2024-02-11,652,38,3,9759000
296,2024-08-11,489,2,6,48673000
297,2024-09-10,2217,18,2,52137000
298,2025-09-26,1586,26,1,12375000
299,2024-06-03,2325,6,1,10518000
300,2024-05-01,1720,32,2,20140000
301,2025-05-28,229,24,6,41659000
302,2025-07-24,1510,27,6,3068000
303,2025-04-16,167,25,1,9216000
304,2025-12-18,1614,10,3,22687000
305,2025-08-07,2098,26,6,2711000
306,2025-01-05,248,20,3,6960000
307,2024-10-20,1044,20,2,1053000
308,2025-03-27,1768,26,1,5487000
309,2025-12-02,1255,39,1,61367000
310,2024-08-18,2325,27,6,23648000
311,2024-01-09,1239,42,3,2053000
312,2025-01-20,686,30,1,27015000
313,2024-05-12,692,25,1,41126000
314,2025-03-20,482,6,6,9712000
315,2024-05-30,1048,14,6,4564000
316,2025-11-12,563,48,6,13623000
317,2025-11-01,2273,45,6,31505000
318,2024-09-29,2759,10,3,8074000
319,2025-11-26,2109,33,3,28312000
320,2025-06-30,2020,39,3,13287000
321,2024-04-10,2551,27,1,36142000
322,2025-10-16,984,47,6,27783000
323,2025-12-29,347,43,3,9340000
324,2025-08-07,2797,25,6,1666000
325,2024-08-13,824,36,6,9882000
326,2024-09-02,549,47,6,6629000
327,2025-04-16,765,24,2,12596000
328,2025-01-08,2178,16,1,3572000
329,2024-09-08,1068,13,2,14658000
330,2025-12-07,987,5,3,44446000
331,2025-12-24,1499,43,3,2000000
332,2025-05-26,1662,2,6,334000
333,2024-09-30,1515,30,6,1816000
334,2025-12-07,2309,44,6,890000
335,2025-05-26,1356,30,6,21670000
336,2025-08-23,2917,47,6,50497000
337,2025-10-12,1375,13,6,30135000
338,2024-09-02,1789,24,3,10676000
339,2025-04-28,1110,26,6,11268000
340,2025-08-31,2060,25,3,12722000
341,2025-03-17,855,18,1,17264000
342,2024-03-21,726,22,6,10456000
343,2025-01-13,91,35,3,4046000
344,2025-08-09,1361,40,6,32500000
345,2025-06-04,359,22,1,26306000
346,2025-02-12,2441,10,6,10173000
347,2025-01-15,2359,25,6,38789000
348,2024-11-05,1830,12,2,11100000
349,2024-09-02,56,30,6,16712000
350,2024-05-19,982,24,3,10644000
351,2024-05-01,1089,12,6,7914000
352,2024-05-05,1172,4,6,34171000
353,2025-10-28,2231,38,1,3372000
354,2024-09-10,645,27,2,8289000
355,2024-11-04,1298,20,1,38201000
356,2024-02-27,1855,37,6,950000
357,2024-08-13,2695,50,6,34287000
358,2024-08-19,428,44,3,5379000
359,2024-01-31,2188,42,3,7778000
360,2025-05-22,2175,23,1,42501000
361,2024-05-25,493,6,6,12568000
362,2025-07-16,1830,6,3,50135000
363,2024-10-14,1304,11,1,5554000
364,2025-01-06,2695,18,1,168000
365,2025-03-19,2071,30,6,40599000
366,2024-09-30,2787,42,6,1451000
367,2024-02-19,461,32,1,42849000
368,2025-10-20,671,42,3,26829000
369,2025-12-09,2167,27,6,1304000
370,2024-05-31,912,29,6,5579000
371,2025-04-08,541,37,6,4758000
372,2025-02-13,2794,21,6,2871000
373,2024-07-11,799,30,3,15793000
374,2024-04-24,1142,4,3,588000
375,2025-10-06,2869,23,1,8556000
376,2025-03-25,2200,5,2,1697000
377,2025-01-11,1334,42,3,31587000
378,2025-11-05,187,3,3,51172000
379,2024-06-04,1982,44,1,1732000
380,2024-05-11,270,20,1,4752000
381,2024-11-23,1897,43,1,3310000
382,2024-05-02,1743,2,3,8887000
383,2024-11-04,929,37,3,8301000
384,2024-08-10,1631,34,2,14742000
385,2025-05-21,674,3,1,1910000
386,2024-05-04,812,25,3,7484000
387,2024-12-20,1438,46,1,1937000
388,2025-06-14,1601,12,2,9645000
389,2025-09-07,2642,12,3,5651000
390,2025-10-08,1986,16,6,885000
391,2024-05-10,2946,24,3,3065000
392,2024-12-26,2701,44,1,3290000
393,2024-08-28,608,11,1,800000
394,2025-10-17,2840,50,6,16985000
395,2024-08-20,2865,40,1,284000
396,2025-06-18,2472,39,1,23716000
397,2024-01-02,1177,24,6,19430000
398,2025-12-08,2841,15,6,2772000
399,2024-08-18,530,15,6,11395000
400,2025-03-13,357,33,6,4964000
401,2024-02-05,1924,26,2,25194000
402,2024-02-20,2258,30,2,24037000
403,2025-06-07,768,25,3,12195000
404,2025-05-24,495,49,3,15482000
405,2024-06-11,819,25,3,6829000
406,2024-04-11,58,32,2,5332000
407,2024-06-08,1624,7,6,17413000
408,2025-10-22,2268,15,3,14730000
409,2025-11-25,2295,41,1,19971000
410,2025-12-24,368,32,6,3145000
411,2025-12-25,1074,35,6,9230000
412,2025-02-16,1960,13,6,7994000
413,2025-03-29,1076,9,1,14283000
414,2024-08-02,888,45,1,9777000
415,2024-05-25,662,46,3,4476000
416,2024-01-18,2600,7,3,2496000
417,2024-10-26,1040,10,6,28316000
418,2025-07-27,2746,48,3,7235000
419,2024-06-06,2939,43,1,21608000
420,2024-07-01,1449,26,2,31075000
421,2025-01-21,750,40,6,2062000
422,2024-08-04,1523,42,3,11520000
423,2025-02-02,993,41,6,18286000
424,2024-09-07,274,42,2,13954000
425,2025-06-28,228,18,6,26250000
426,2025-12-01,2015,18,2,21248000
427,2024-08-29,26,32,6,12881000
428,2024-08-22,2290,20,2,14634000
429,2025-10-30,2301,21,1,24971000
430,2024-01-14,2704,5,1,4400000
431,2025-01-29,715,26,2,4462000
432,2025-06-04,1175,43,6,12284000
433,2024-08-22,2339,47,6,32237000
434,2025-11-03,1497,25,2,14092000
435,2024-11-17,2993,18,6,21627000
436,2024-02-16,1481,21,6,23863000
437,2025-08-05,298,12,3,28932000
438,2025-01-12,355,28,6,7729000
439,2024-03-14,318,37,6,20545000
440,2024-12-03,1755,18,2,11030000
441,2025-08-06,2747,6,3,14576000
442,2025-01-19,2427,14,3,13402000
443,2024-11-24,1847,36,6,16002000
444,2025-01-01,758,4,6,13049000
445,2024-01-01,562,2,6,27190000
446,2024-06-21,1781,11,2,17788000
447,2024-03-13,2551,42,6,18649000
448,2024-04-08,557,47,2,15905000
449,2024-06-02,1260,5,1,29853000
450,2025-08-08,998,49,6,4782000
451,2025-09-27,1653,30,3,12361000
452,2025-08-03,2652,30,6,1980000
453,2024-02-07,2320,34,6,25156000
454,2024-08-08,304,11,6,38369000
455,2025-05-17,1982,15,3,9126000
456,2025-09-08,760,9,6,4522000
457,2025-10-29,1595,44,2,5955000
458,2025-04-16,1390,45,3,29986000
459,2025-06-27,2191,40,6,13901000
460,2025-10-26,2232,27,6,25000
461,2024-08-30,2611,14,3,21691000
462,2025-12-16,2839,20,1,17634000
463,2024-04-28,2469,6,6,26475000
464,2024-12-02,1265,13,3,53654000
465,2025-06-08,2753,47,3,8114000
466,2025-10-14,1372,12,1,824000
467,2024-05-07,593,3,1,16020000
468,2024-05-03,2401,5,6,18568000
469,2024-01-25,1430,32,6,13659000
470,2024-10-05,1159,37,6,25223000
471,2024-10-17,1966,1,3,7994000
472,2024-01-02,575,27,3,9065000
473,2025-04-20,1621,20,6,21072000
474,2025-07-11,2726,49,6,38373000
475,2025-05-23,1643,20,3,11522000
476,2025-04-03,2430,29,6,6590000
477,2024-04-01,1720,13,6,25924000
478,2024-12-21,1748,45,3,9516000
479,2024-09-20,1355,3,3,19027000
480,2025-02-20,1001,23,6,3957000
481,2025-12-16,904,31,1,15834000
482,2024-02-08,2412,48,6,8944000
483,2024-10-05,2315,28,3,32510000
484,2024-07-09,1903,29,2,11309000
485,2024-04-22,2601,37,6,16917000
486,2024-05-20,2332,45,6,7996000
487,2024-08-16,1316,14,2,8136000
488,2025-12-12,1520,38,6,5209000
489,2024-01-09,735,24,6,21174000
490,2024-04-22,662,34,1,17182000
491,2025-04-18,1694,44,1,23628000
492,2025-03-12,1228,16,3,22342000
493,2024-11-17,2516,19,3,15926000
494,2025-09-27,2293,37,6,21300000
495,2025-09-18,1612,23,6,15934000
496,2025-02-27,2693,28,1,13757000
497,2024-11-01,1354,49,6,32649000
498,2024-10-26,907,20,6,563000
499,2024-03-15,1251,40,3,14369000
500,2025-02-09,2333,39,3,9200000
501,2024-09-07,2489,16,6,4588000
502,2024-10-09,2369,29,6,15003000
503,2024-08-19,2355,18,6,1766000
504,2024-09-27,71,34,3,827000
505,2024-06-24,599,15,3,11548000
506,2025-08-30,1345,33,6,9799000
507,2024-05-11,2480,47,6,6339000
508,2024-08-11,2358,43,3,36070000
509,2025-10-19,2140,38,6,4431000
510,2024-04-12,1021,11,3,2658000
511,2024-01-09,2339,29,1,1682000
512,2024-03-03,2832,12,3,1125000
513,2025-05-05,178,31,6,6720000
514,2024-11-04,2125,23,1,38571000
515,2024-10-20,2582,46,6,18578000
516,2025-01-14,1380,31,3,4458000
517,2024-05-15,515,3,1,2421000
518,2024-01-11,176,20,6,5430000
519,2025-08-03,1773,20,6,192000
520,2024-03-06,608,47,3,16750000
521,2024-08-16,2321,4,2,5012000
522,2024-05-24,1458,7,1,16195000
523,2024-04-27,836,47,6,30911000
524,2024-12-07,1612,23,3,30687000
525,2025-12-24,2437,26,1,16261000
526,2024-12-04,2386,22,6,13809000
527,2024-01-03,2275,28,2,12363000
528,2025-08-10,2497,14,2,13924000
529,2024-09-24,2892,24,3,3483000
530,2024-11-01,775,17,6,17855000
531,2025-02-10,1589,15,3,10626000
532,2024-03-15,913,35,3,10365000
533,2025-01-14,197,14,6,9418000
534,2024-07-06,781,27,1,29860000
535,2025-11-17,556,3,1,11960000
536,2024-07-18,1270,30,6,6425000
537,2024-07-06,1086,27,1,4424000
538,2025-11-02,442,2,6,5240000
539,2024-08-25,2717,29,3,15530000
540,2025-03-01,2067,48,6,32038000
541,2025-07-07,115,3,3,22552000
542,2025-10-28,1286,46,1,23612000
543,2025-08-05,1150,25,3,10586000
544,2024-02-21,627,42,3,23606000
545,2025-10-24,2715,32,6,9915000
546,2024-10-19,264,30,6,25669000
547,2024-07-11,154,20,1,26052000
548,2024-11-22,240,10,1,7400000
549,2025-07-03,1502,4,1,16880000
550,2024-06-14,2291,40,6,8255000
551,2025-03-08,1601,22,1,29453000
552,2025-04-04,1380,47,1,5184000
553,2024-07-22,824,9,3,54065000
554,2024-06-05,2555,15,3,9916000
555,2024-05-19,67,9,6,54511000
556,2025-02-14,2350,7,1,3498000
557,2024-07-28,41,15,2,17847000
558,2024-08-12,809,17,6,23788000
559,2025-04-24,1807,5,2,8705000
560,2025-11-17,1753,30,6,19018000
561,2024-01-11,1793,28,1,11719000
562,2025-05-04,2498,40,6,28536000
563,2024-11-18,1021,48,2,5024000
564,2024-06-26,1139,42,6,9140000
565,2024-08-03,230,6,1,10035000
566,2024-08-24,2383,36,6,8424000
567,2025-05-14,699,16,3,1217000
568,2024-08-09,1110,46,1,8864000
569,2024-02-17,521,35,6,550000
570,2025-04-14,279,38,2,28167000
571,2024-04-03,1861,46,1,12574000
572,2024-06-16,2712,9,6,19395000
573,2024-02-23,1530,4,6,47347000
574,2025-02-27,1061,43,3,8566000
575,2025-04-18,2989,50,2,22557000
576,2025-05-02,2631,41,6,3636000
577,2024-11-24,1067,27,3,2994000
578,2025-09-29,2461,12,6,6290000
579,2024-02-21,1583,24,3,3139000
580,2024-08-20,2199,29,1,17138000
581,2025-11-24,1922,41,1,15301000
582,2024-12-13,2072,5,1,17150000
583,2024-06-08,1298,39,2,35287000
584,2025-08-21,2819,22,6,14334000
585,2025-02-07,2187,19,6,3861000
586,2025-06-03,2969,48,1,41014000
587,2024-09-10,1989,16,1,9216000
588,2025-04-07,2349,50,3,13286000
589,2024-07-09,409,9,3,8578000
590,2024-03-29,194,8,3,25186000
591,2025-04-13,2104,3,1,28038000
592,2025-12-14,1420,45,3,11257000
593,2025-03-01,2516,4,2,6132000
594,2025-04-10,203,32,6,6021000
595,2025-12-11,148,41,1,16725000
596,2025-09-04,619,23,3,21360000
597,2025-08-24,2538,40,6,4283000
598,2025-12-12,1454,12,3,26531000
599,2024-11-21,449,32,2,12119000
600,2024-06-25,719,10,6,53131000
601,2025-02-01,1043,16,1,7720000
602,2025-07-24,1862,12,1,7740000
603,2024-01-22,1478,19,1,191000
604,2024-05-27,463,25,1,6015000
605,2025-01-20,2782,21,6,3540000
606,2025-08-28,2647,25,1,3713000
607,2024-07-18,7,45,3,203000
608,2024-07-19,829,19,6,4342000
609,2024-11-05,1814,2,6,2919000
610,2025-05-29,2125,32,3,13229000
611,2025-09-05,2377,22,3,868000
612,2024-10-04,1904,2,1,28599000
613,2024-01-11,1533,40,6,36507000
614,2025-06-03,2804,23,2,26186000
615,2025-09-18,1283,13,6,13124000
616,2025-05-23,1055,40,1,27031000
617,2025-02-10,1750,41,1,9580000
618,2024-06-12,2449,48,6,2142000
619,2025-02-28,956,18,1,17422000
620,2025-04-08,2040,31,6,15714000
621,2024-06-23,656,23,3,12300000
622,2024-06-06,72,27,2,4623000
623,2025-02-12,1431,35,2,5297000
624,2024-05-25,2477,9,3,7237000
625,2025-10-31,1511,37,1,31915000
626,2024-06-03,2427,19,2,12372000
627,2024-03-14,1322,50,6,15188000
628,2024-08-11,173,10,3,45538000
629,2024-11-21,1294,49,3,30820000
630,2025-02-15,953,28,1,10223000
631,2025-04-19,2738,47,1,13053000
632,2025-10-23,1674,12,3,34652000
633,2024-10-30,2721,49,1,6078000
634,2024-02-13,1768,25,2,11336000
635,2024-12-09,2717,17,3,19984000
636,2025-06-10,111,42,3,8320000
637,2024-12-13,398,13,1,2248000
638,2024-04-19,914,42,3,14214000
639,2024-02-11,179,18,3,11829000
640,2025-07-01,920,46,1,17559000
641,2024-03-06,2632,6,1,16155000
642,2024-06-04,387,12,3,22880000
643,2025-01-16,1213,33,3,15460000
644,2025-12-29,1526,35,1,25578000
645,2025-03-21,2226,27,3,11498000
646,2025-05-26,1645,20,2,2974000
647,2024-04-16,2388,8,3,7177000
648,2024-11-30,1074,36,3,26070000
649,2024-02-29,1596,20,6,19996000
650,2024-05-16,2760,1,2,31331000
651,2025-02-01,728,37,3,10947000
652,2025-05-24,1812,41,3,635000
653,2025-05-06,1002,21,3,312000
654,2024-12-01,1589,41,6,43845000
655,2024-10-15,1636,48,6,3043000
656,2024-05-01,2441,28,1,44435000
657,2024-08-10,1214,43,1,1754000
658,2024-04-24,2501,10,6,12261000
659,2024-05-28,734,5,1,14629000
660,2024-07-06,71,20,3,2681000
661,2024-02-16,1165,11,3,18325000
662,2024-09-16,2179,14,3,17263000
663,2024-10-15,1990,33,3,60150000
664,2025-12-17,459,6,6,19523000
665,2025-09-21,1829,10,6,2762000
666,2025-08-25,2497,39,3,2475000
667,2024-10-11,2357,45,3,8685000
668,2024-04-08,2670,11,3,1074000
669,2025-12-16,816,8,3,2355000
670,2024-01-21,234,15,6,14082000
671,2025-03-08,1679,2,1,7946000
672,2025-12-24,9,4,3,25296000
673,2024-12-22,806,48,1,14929000
674,2025-07-06,1379,13,3,14448000
675,2025-02-09,773,7,2,6948000
676,2024-11-25,2588,3,6,25534000
677,2024-07-02,1107,16,3,107741000
678,2024-08-28,2253,46,3,2343000
679,2024-12-29,2266,45,1,23356000
680,2025-03-03,2523,11,3,14004000
681,2025-09-18,256,4,6,2745000
682,2025-02-11,2188,45,6,17786000
683,2024-06-16,1874,49,6,21130000
684,2024-09-06,931,12,3,46863000
685,2024-07-30,2055,40,6,54779000
686,2025-11-20,835,14,6,13580000
687,2025-02-21,342,33,6,507000
688,2025-10-12,468,41,3,6632000
689,2025-02-16,726,26,6,11706000
690,2024-04-17,1016,28,3,2966000
691,2024-11-08,446,1,3,21304000
692,2024-07-13,636,43,3,8965000
693,2024-06-09,824,15,3,10480000
694,2024-06-05,407,44,3,12081000
695,2025-06-04,2995,15,6,35470000
696,2024-07-10,1889,48,3,302000
697,2024-03-05,2165,31,6,8536000
698,2025-12-26,2869,2,6,7189000
699,2025-05-08,2020,25,3,4329000
700,2025-10-28,178,28,6,3248000
701,2025-08-18,685,1,3,12510000
702,2025-06-19,412,42,6,1132000
703,2024-09-10,308,40,1,5871000
704,2025-04-23,2486,29,6,17002000
705,2024-04-29,1887,33,3,11264000
706,2024-12-26,2431,27,3,41573000
707,2025-06-30,2635,16,3,12296000
708,2025-12-10,1225,23,6,27593000
709,2024-07-01,2768,2,1,10173000
