IdCompra,FechaCompra,IdProveedor,Total
140,2024-12-27,2,139077000
141,2024-04-11,52,97377000
142,2025-07-03,12,25650000
143,2024-07-12,20,8469000
144,2024-12-12,54,28548000
145,2024-06-08,39,140502000
146,2025-03-20,10,108114000
147,2025-03-07,45,428814000
148,2025-08-20,61,687335000
149,2024-12-20,51,9443000
150,2024-12-29,58,126801000
151,2024-06-23,4,298892000
152,2025-01-20,35,165082000
153,2025-12-06,21,238560000
154,2024-02-09,6,429733000
155,2025-04-15,42,15062000
156,2024-04-22,1,202644000
157,2025-03-10,79,240273000
158,2024-04-17,76,389325000
159,2025-06-29,77,315444000
160,2025-01-10,1,308566000
161,2024-03-10,72,136645000
162,2025-03-16,12,102042000
163,2024-01-24,45,34344000
164,2025-03-03,22,131345000
165,2025-04-22,15,514914000
166,2024-01-12,19,192245000
167,2024-06-04,14,99513000
168,2024-08-27,67,161655000
169,2025-08-07,67,753513000
170,2024-09-20,18,91126000
171,2025-08-10,39,29837000
172,2025-12-01,38,137323000
173,2025-12-04,25,244005000
174,2024-03-05,37,26715000
175,2025-11-02,3,230470000
176,2024-07-21,24,289415000
177,2025-03-08,63,59168000
178,2024-12-01,8,18559000
179,2025-12-17,12,400988000
180,2025-01-06,26,339344000
181,2025-06-16,31,357787000
182,2025-03-05,17,590493000
183,2024-06-14,10,90149000
184,2024-12-29,72,107037000
185,2025-10-15,6,217612000
186,2024-02-25,65,159158000
187,2025-03-31,39,302835000
188,2025-03-31,4,350148000
189,2025-11-14,65,45282000
190,2025-09-28,42,90110000
191,2025-08-06,23,316835000
192,2024-12-27,76,270546000
193,2024-09-14,53,136744000
194,2024-02-15,61,258900000
195,2025-12-24,1,720868000
196,2024-07-30,52,205337000
197,2025-07-30,42,378012000
198,2024-09-05,18,53427000
199,2024-10-21,52,776244000
200,2024-05-19,37,26413000
201,2024-11-01,26,268930000
202,2024-10-02,73,32185000
203,2025-10-18,10,98372000
204,2024-07-06,38,402935000
205,2024-09-27,25,172197000
206,2025-03-07,5,278665000
207,2024-04-23,5,111121000
208,2025-12-24,28,118380000
209,2025-02-01,31,449637000
210,2024-03-07,9,175795000
211,2025-08-19,18,166646000
212,2025-08-30,66,400829000
213,2024-07-21,32,331387000
214,2024-12-12,49,270079000
215,2025-09-29,28,7420000
216,2025-10-21,2,348975000
217,2024-04-20,53,85600000
218,2024-07-06,8,3358000
219,2024-09-18,16,965160000
220,2024-08-11,27,44872000
221,2024-03-21,44,553702000
222,2025-12-31,46,163583000
223,2025-09-28,45,258287000
224,2025-06-04,50,857890000
225,2025-06-30,36,365795000
226,2025-12-25,69,120460000
227,2025-12-06,47,23276000
228,2024-06-28,11,209933000
229,2024-10-06,10,152208000
230,2024-09-28,49,421701000
231,2024-10-27,13,407025000
232,2025-02-07,50,360351000
233,2024-03-09,15,8417000
234,2025-04-10,48,483801000
235,2024-02-28,5,51176000
236,2025-07-19,28,262194000
237,2025-08-10,24,35822000
238,2024-01-20,13,47627000
239,2024-07-15,25,238875000
240,2024-01-19,40,7524000
241,2024-12-14,74,236530000
242,2025-05-13,35,760213000
243,2025-04-04,47,69666000
244,2025-07-11,12,100972000
245,2025-11-10,73,76997000
246,2025-07-06,68,155556000
247,2024-05-16,69,67158000
248,2024-04-17,5,341700000
249,2025-10-21,68,388091000
250,2024-02-26,29,375772000
251,2024-11-26,31,67974000
252,2025-04-01,38,301982000
253,2025-11-29,42,436285000
254,2024-03-26,61,217383000
255,2025-05-06,9,176476000
256,2025-07-20,45,565956000
257,2025-02-03,47,195729000
258,2025-02-28,47,113035000
259,2025-02-21,20,285736000
260,2024-04-02,58,249395000
261,2024-11-19,20,762413000
262,2024-03-29,59,325502000
263,2024-08-10,12,195038000
264,2025-12-05,36,508951000
265,2025-11-22,28,47929000
266,2024-04-14,49,269670000
267,2024-07-17,65,324560000
268,2025-05-27,71,601955000
269,2025-07-30,68,160414000
270,2024-11-06,70,181557000
271,2025-10-19,16,24735000
272,2024-09-07,52,534131000
273,2024-08-10,11,200470000
274,2024-06-06,21,513665000
275,2025-11-05,4,376454000
276,2024-05-01,55,50524000
277,2025-05-27,33,387474000
278,2025-07-08,61,172040000
279,2024-02-11,73,221165000
280,2024-05-25,68,91351000
281,2024-10-11,48,231372000
282,2025-05-22,13,36200000
283,2025-02-20,66,71148000
284,2025-01-23,40,299183000
285,2024-04-22,72,218592000
286,2025-05-26,15,200263000
287,2024-10-28,23,79221000
288,2024-07-31,72,57275000
289,2025-02-15,40,535655000
290,2024-04-16,25,238256000
291,2025-11-08,78,20698000
292,2025-01-05,26,161567000
293,2024-06-16,49,216612000
294,2024-11-22,58,785115000
295,2025-06-23,3,441117000
296,2025-06-20,1,190575000
297,2025-05-16,8,225100000
298,2024-02-09,37,179174000
299,2024-08-18,7,630076000
300,2025-10-13,76,486687000
301,2025-05-29,47,41402000
302,2025-10-13,19,219392000
303,2025-04-18,34,74126000
304,2025-11-18,33,164588000
305,2025-12-15,77,131037000
306,2024-11-30,65,201131000
307,2024-12-03,38,85437000
308,2025-12-28,74,9371000
309,2024-12-15,48,314267000
310,2025-03-18,55,554317000
311,2024-04-15,47,148770000
312,2024-07-04,78,60642000
313,2024-06-23,36,55053000
314,2024-12-23,40,1007343000
315,2024-08-31,28,500074000
316,2024-08-30,28,130961000
317,2024-08-11,47,266524000
318,2024-05-06,74,190502000
319,2024-01-01,70,299474000
320,2025-12-22,73,277718000
321,2024-01-23,16,852945000
322,2025-12-17,17,222725000
323,2024-06-01,8,168276000
324,2024-10-09,66,390612000
325,2024-12-06,23,248584000
326,2024-08-05,26,37305000
327,2024-02-27,52,147344000
328,2024-03-07,68,204356000
329,2024-09-25,4,173668000
330,2024-01-22,6,104230000
331,2025-11-08,47,99218000
332,2024-10-07,16,189267000
333,2024-11-17,39,362868000
334,2024-04-13,8,18000000
335,2024-01-08,59,456733000
336,2024-04-04,60,128731000
337,2024-01-24,5,101821000
338,2025-02-21,29,644474000
339,2024-01-03,22,457665000
340,2024-03-02,12,336495000
341,2025-02-25,63,215273000
342,2025-11-29,79,266232000
343,2025-03-01,43,792116000
344,2025-02-06,41,358060000
345,2024-11-01,20,407706000
346,2025-04-22,29,49065000
347,2025-09-24,75,324756000
348,2025-09-04,32,59118000
349,2024-11-22,28,259530000
350,2025-10-06,23,313834000
351,2024-03-06,56,579444000
352,2024-01-12,13,122217000
353,2025-04-13,21,9069000
354,2024-04-06,11,11937000
355,2024-10-28,36,9078000
356,2025-12-21,3,124579000
357,2025-03-09,2,56638000
358,2025-06-30,11,323202000
359,2025-10-15,66,156888000
360,2025-09-25,67,194581000
361,2025-02-22,8,181244000
362,2024-12-29,38,60952000
363,2024-04-02,30,209554000
364,2024-10-05,2,263364000
365,2025-05-16,61,119049000
366,2024-10-04,76,31230000
367,2025-02-27,11,297546000
368,2024-09-30,66,164903000
369,2025-06-17,53,338650000
370,2025-07-02,31,281284000
371,2024-12-03,27,161716000
372,2024-10-02,75,41016000
373,2024-01-21,13,156968000
374,2025-08-18,17,157041000
375,2024-09-20,66,207761000
376,2025-03-22,60,58891000
377,2025-06-26,63,177084000
378,2024-03-23,38,105084000
379,2024-10-09,80,611957000
380,2025-02-26,50,333117000
381,2025-11-04,37,590371000
382,2025-03-06,8,26602000
383,2024-07-21,13,265969000
384,2024-03-26,56,273815000
385,2025-02-06,27,38635000
386,2024-04-18,30,15192000
387,2024-12-29,41,418027000
388,2025-07-26,24,295165000
389,2025-10-25,32,245127000
390,2024-07-27,78,40068000
391,2025-06-29,53,338711000
392,2024-10-20,25,800000
393,2024-07-11,11,42173000
394,2024-05-17,8,5248000
395,2025-01-03,31,295264000
396,2025-02-25,47,516927000
397,2025-04-28,43,103441000
398,2024-06-14,26,113846000
399,2024-05-02,43,92404000
400,2025-09-04,63,370993000
401,2025-04-23,46,559656000
402,2024-01-22,5,43742000
403,2025-07-21,27,371191000
404,2024-06-05,31,174876000
405,2025-03-26,35,479386000
406,2024-12-18,73,210555000
407,2025-07-02,46,222140000
408,2025-11-23,80,50092000
409,2025-11-03,26,35692000
410,2025-05-28,29,202994000
411,2025-10-27,80,72761000
412,2025-02-06,38,115565000
413,2024-01-29,30,350455000
414,2025-12-02,63,26765000
415,2025-12-06,7,185502000
416,2025-07-06,3,51912000
417,2025-04-24,58,82219000
418,2024-04-17,55,116592000
419,2025-10-12,30,305761000
420,2025-10-11,55,366034000
421,2025-11-26,2,67907000
422,2025-04-01,66,389132000
423,2025-05-11,11,127539000
424,2025-08-03,50,519438000
425,2025-11-22,12,127986000
426,2024-11-19,74,78441000
427,2024-12-27,3,51550000
428,2024-02-11,20,164395000
429,2025-08-07,66,449903000
430,2025-05-19,48,404411000
431,2024-09-04,52,113854000
432,2025-06-02,55,43274000
433,2025-11-04,57,37270000
434,2025-02-27,25,209137000
435,2025-11-11,2,254383000
436,2024-04-10,1,369788000
437,2024-03-12,39,265561000
438,2025-09-28,53,479772000
439,2024-03-10,56,198240000
440,2025-09-28,70,249615000
441,2024-09-20,28,75416000
442,2025-11-24,4,376856000
443,2024-01-12,77,335475000
444,2024-02-25,62,113063000
445,2024-12-23,23,117185000
446,2024-04-14,28,463871000
447,2025-07-24,35,209352000
448,2024-08-11,77,457919000
449,2024-03-28,6,506758000
450,2025-02-27,70,183257000
451,2025-07-17,74,79065000
452,2025-03-16,36,59718000
453,2025-02-13,55,404790000
454,2024-11-22,79,62155000
455,2024-05-28,36,9428000
456,2025-12-16,67,487224000
457,2025-02-28,78,182822000
458,2024-09-01,40,130014000
459,2025-04-17,64,271232000
460,2024-11-23,71,55648000
461,2025-05-22,23,405261000
462,2025-03-31,3,120366000
463,2025-10-06,60,502013000
464,2024-11-15,51,137166000
465,2025-02-27,62,72808000
466,2025-06-07,44,59010000
467,2025-10-30,54,249981000
468,2024-03-25,10,125666000
469,2025-07-12,65,306386000
470,2025-10-07,34,104587000
471,2025-02-18,38,285557000
472,2025-07-15,31,207681000
473,2025-08-20,76,243923000
474,2025-05-07,73,400686000
475,2024-04-26,22,272959000
476,2025-08-28,12,181261000
477,2024-06-30,54,322719000
478,2024-05-14,76,67576000
479,2024-02-22,66,11188000
480,2024-10-13,13,174916000
481,2024-09-26,10,13826000
482,2024-04-28,51,391541000
483,2024-08-06,46,190519000
484,2024-06-03,20,84613000
485,2025-01-15,37,525571000
486,2025-05-24,24,50021000
487,2024-03-21,69,43414000
488,2024-01-31,35,238187000
489,2025-09-25,18,39049000
490,2025-04-29,30,67935000
491,2024-10-11,29,184145000
492,2024-06-07,59,237202000
493,2025-12-13,4,116896000
494,2024-05-29,25,436688000
495,2024-05-03,26,165585000
496,2024-10-16,15,388217000
497,2025-02-18,37,496201000
498,2024-04-13,59,344849000
499,2025-07-23,18,117762000
500,2024-02-29,47,244454000
501,2024-04-21,73,52992000
502,2024-01-28,73,649155000
503,2025-01-08,80,116514000
504,2025-06-04,1,171694000
505,2025-12-29,21,200764000
506,2025-06-14,35,150515000
507,2024-10-25,40,108601000
508,2025-07-07,13,172039000
509,2025-03-02,8,257833000
510,2024-07-22,27,428786000
511,2024-11-19,11,89697000
512,2024-01-07,49,54249000
513,2024-07-26,66,409524000
514,2024-08-09,18,277507000
515,2025-03-14,10,10243000
516,2025-11-23,20,60522000
517,2024-11-05,4,253268000
518,2024-02-09,45,181572000
519,2025-11-03,11,60760000
520,2025-02-09,76,59287000
521,2024-02-18,24,278703000
522,2025-11-23,38,228718000
523,2024-08-08,40,250934000
524,2025-05-19,38,243410000
525,2024-04-25,55,235746000
526,2024-04-05,32,174128000
527,2024-07-06,18,129038000
528,2024-07-02,64,64925000
529,2025-01-04,1,339122000
530,2025-03-01,5,128548000
531,2025-09-18,80,149387000
532,2024-05-26,3,192068000
533,2025-06-05,17,321886000
534,2025-03-31,8,114312000
535,2024-07-31,23,369061000
536,2024-01-03,29,628725000
537,2025-11-25,76,174982000
538,2025-07-23,31,46705000
539,2024-03-20,54,118389000
540,2025-11-23,4,86814000
541,2024-04-20,19,198239000
542,2025-01-21,8,14356000
543,2025-07-12,75,273467000
544,2024-04-02,27,1200000
545,2025-02-08,69,63096000
546,2025-07-07,70,255688000
547,2025-05-29,45,513800000
548,2024-05-09,3,213653000
549,2025-08-26,40,120700000
550,2025-06-02,36,92484000
551,2025-07-24,67,365409000
552,2024-03-20,29,255723000
553,2025-01-28,63,11821000
554,2025-08-21,19,676840000
555,2024-06-15,8,81060000
556,2025-07-20,61,197504000
557,2025-03-10,56,290590000
558,2024-02-05,59,563915000
559,2024-04-09,53,24254000
560,2025-05-02,41,447354000
561,2025-07-18,27,931664000
562,2024-07-21,79,415007000
563,2025-03-31,28,202680000
564,2024-03-20,74,76659000
565,2024-07-09,46,244047000
566,2025-12-13,28,180435000
567,2025-12-05,28,171414000
568,2024-09-08,67,145769000
569,2024-02-24,54,149199000
570,2025-07-22,60,861422000
571,2024-11-03,67,359917000
572,2025-04-11,63,141854000
573,2025-04-09,36,181804000
574,2025-03-22,55,347323000
575,2024-05-10,12,210487000
576,2025-12-25,14,13188000
577,2024-07-05,12,97228000
578,2025-06-04,77,213885000
579,2024-04-16,74,154678000
580,2025-06-12,11,40520000
581,2024-12-04,49,92836000
582,2024-09-26,44,296801000
583,2024-10-26,3,43275000
584,2024-09-14,5,129056000
585,2025-05-17,24,99932000
586,2024-10-26,49,284415000
587,2025-08-11,79,160330000
588,2025-09-02,26,343271000
589,2024-07-05,33,168333000
590,2025-01-20,73,259691000
591,2025-06-22,55,105812000
592,2024-03-30,36,399754000
593,2024-09-15,1,116063000
594,2025-04-08,26,149365000
595,2024-03-29,41,153527000
596,2024-02-22,49,278666000
597,2024-05-20,52,262040000
598,2025-01-16,40,46698000
599,2025-01-20,11,234514000
600,2024-04-20,71,382192000
601,2025-03-06,26,237120000
602,2024-04-08,79,285730000
603,2024-07-07,62,49047000
604,2024-09-23,76,189463000
605,2025-11-15,62,452990000
606,2024-08-15,31,39672000
607,2024-10-21,68,176443000
608,2025-03-04,63,476782000
609,2024-08-06,16,45420000
610,2024-08-21,41,48135000
611,2025-06-24,48,161826000
612,2024-04-21,19,29580000
613,2025-10-06,24,69176000
614,2024-11-02,65,283056000
615,2025-11-14,13,415784000
616,2025-04-15,25,473053000
617,2024-11-06,51,9955000
618,2025-10-30,57,61187000
619,2025-09-23,75,186041000
620,2025-02-24,41,293524000
621,2025-10-05,26,112246000
622,2025-10-03,36,199400000
623,2024-09-15,52,449178000
624,2024-07-16,33,124450000
625,2025-04-22,13,80562000
626,2025-07-07,20,44957000
627,2024-10-14,1,77716000
628,2024-09-17,11,77735000
629,2024-03-24,64,107329000
630,2024-12-28,10,194724000
631,2025-02-28,8,119205000
632,2025-01-29,9,124486000
633,2024-01-24,1,89707000
634,2024-10-25,40,35672000
635,2025-11-22,71,388635000
636,2024-07-17,77,172959000
637,2025-03-31,58,445000000
638,2024-06-09,7,87817000
639,2024-02-20,46,98595000
640,2025-05-14,12,116529000
641,2025-09-10,28,230880000
642,2025-04-20,67,274450000
643,2025-08-07,12,208611000
644,2024-11-05,46,528005000
645,2024-09-13,18,294464000
646,2025-02-06,20,94687000
647,2025-12-28,22,403054000
648,2024-11-14,52,50334000
649,2024-10-09,56,553473000
650,2025-02-06,1,118521000
651,2024-02-26,46,306994000
652,2024-04-02,36,244157000
653,2024-11-11,27,223231000
654,2024-04-15,17,33235000
655,2024-08-30,71,121196000
656,2025-01-12,68,254612000
657,2025-05-19,7,416287000
658,2024-05-25,3,84708000
659,2024-01-17,7,157792000
660,2024-04-20,25,290672000
661,2024-01-05,71,53784000
662,2024-10-23,44,148005000
663,2025-05-31,44,43555000
664,2025-08-11,33,551392000
665,2024-03-12,14,201929000
666,2024-01-13,57,131738000
667,2024-10-14,79,151452000
668,2025-11-04,17,12765000
669,2024-11-30,20,35738000
670,2024-10-14,18,138394000
671,2025-08-30,75,124470000
672,2025-12-18,58,131245000
673,2024-12-07,44,65251000
674,2025-05-25,36,233170000
675,2024-12-15,61,165463000
676,2024-06-14,67,417737000
677,2024-03-11,63,143611000
678,2025-08-31,2,78854000
679,2025-04-14,41,542967000
680,2025-03-12,7,21580000
681,2024-12-04,47,294612000
682,2025-12-17,12,21297000
683,2025-02-09,73,269799000
684,2024-01-24,25,27168000
685,2024-02-16,9,19998000
686,2025-12-25,55,208303000
687,2025-12-07,49,269975000
688,2024-10-16,29,470987000
689,2025-07-11,11,735703000
690,2025-01-30,76,203272000
691,2025-08-01,21,105819000
692,2025-01-12,65,51228000
693,2025-06-30,75,536338000
694,2025-01-28,43,39140000
695,2025-03-06,55,244207000
696,2024-09-03,16,86735000
697,2024-06-08,34,167589000
698,2025-03-16,62,181268000
699,2024-12-14,7,47999000
700,2025-08-08,45,558364000
701,2024-02-09,71,321647000
702,2025-08-14,52,334669000
703,2025-02-27,38,81830000
704,2025-11-09,54,52873000
705,2024-04-03,68,41791000
706,2024-05-04,67,89927000
707,2025-05-03,52,48475000
708,2025-05-03,63,141807000
709,2024-04-29,59,40990000
710,2025-10-27,22,400988000
711,2024-06-21,30,124809000
712,2024-11-01,78,334078000
713,2024-01-11,79,238190000
714,2024-09-16,59,130580000
715,2024-03-10,1,442008000
716,2024-10-10,76,43667000
717,2025-10-23,75,372911000
718,2024-12-27,57,179024000
719,2025-07-17,48,90608000
720,2024-09-09,35,102873000
721,2024-04-30,61,368912000
722,2024-07-31,11,35265000
723,2024-04-01,80,409180000
724,2025-04-14,8,294219000
725,2025-03-24,80,117134000
726,2024-01-29,68,216865000
727,2025-05-11,5,115276000
728,2024-04-02,49,144595000
729,2025-10-07,73,290499000
730,2024-09-24,4,115601000
731,2025-07-28,45,200455000
732,2025-11-06,16,258262000
733,2025-08-05,64,260352000
734,2024-11-04,56,69524000
735,2024-03-07,22,132035000
736,2024-04-24,4,170055000
737,2024-03-16,7,35842000
738,2024-05-24,28,788253000
739,2025-04-21,20,38874000
740,2025-12-21,60,130480000
741,2024-08-19,36,56160000
742,2024-03-20,2,496184000
743,2024-04-30,27,254697000
744,2025-03-19,16,141987000
745,2025-02-03,69,14917000
746,2024-08-11,72,372495000
747,2024-08-21,14,136264000
748,2024-04-20,75,114491000
749,2024-08-04,33,341713000
750,2024-04-05,41,13248000
751,2024-04-10,14,900626000
752,2025-10-24,28,291935000
753,2025-11-30,22,88202000
754,2024-10-12,56,187509000
755,2025-06-16,47,155408000
756,2024-05-20,44,111032000
757,2025-08-18,13,298070000
758,2024-03-09,27,154562000
759,2024-12-01,69,237870000
760,2025-07-27,36,376767000
761,2025-03-09,38,395152000
762,2025-06-07,11,467972000
763,2025-05-22,60,72080000
764,2025-05-07,1,117713000
765,2025-12-14,65,51806000
766,2024-12-25,64,153650000
767,2024-07-13,63,185909000
768,2024-12-31,58,75212000
769,2025-11-10,1,72313000
770,2024-07-22,69,264796000
771,2024-07-10,80,169767000
772,2024-03-15,3,141145000
773,2024-04-23,23,305479000
774,2025-10-29,51,238771000
775,2025-12-28,73,160469000
776,2025-01-16,46,162257000
777,2025-01-09,9,168295000
778,2025-10-18,38,30249000
779,2025-03-07,72,94292000
780,2025-08-10,60,109086000
781,2024-01-17,18,15318000
782,2024-03-06,51,145733000
783,2025-04-01,75,213828000
784,2024-07-21,80,173958000
785,2025-11-01,11,89216000
786,2024-05-01,75,114776000
787,2025-09-11,40,94994000
788,2024-02-14,72,238548000
789,2024-05-29,62,636063000
790,2024-07-02,35,301436000
791,2024-11-06,18,13004000
792,2024-09-02,78,95886000
793,2025-05-06,55,156455000
794,2024-06-03,80,26124000
795,2024-10-15,34,84486000
796,2024-10-28,7,218243000
797,2024-10-17,44,157462000
798,2025-12-01,41,16416000
799,2024-04-13,25,43502000
800,2025-05-24,6,70175000
801,2025-06-01,8,110795000
802,2024-08-17,11,44285000
803,2024-08-29,26,123267000
804,2025-04-23,80,455031000
805,2025-01-28,34,342208000
806,2024-07-19,46,42142000
807,2024-08-17,42,72240000
808,2024-06-11,21,94316000
809,2025-07-20,57,179955000
810,2025-06-29,18,167585000
811,2024-11-12,16,262495000
812,2025-04-15,39,117035000
813,2025-02-10,47,234259000
814,2024-08-03,8,305773000
815,2025-02-25,58,147934000
816,2025-04-27,11,583463000
817,2025-12-13,19,10302000
818,2024-05-15,12,398222000
819,2024-03-31,48,490520000
820,2024-04-26,4,216314000
821,2024-03-22,58,949391000
822,2024-09-23,58,213729000
823,2025-06-25,38,230536000
824,2024-05-10,16,52177000
825,2025-06-27,1,324257000
826,2024-12-23,28,274454000
827,2024-01-12,6,151642000
828,2025-06-29,74,36946000
829,2025-05-02,65,273476000
830,2024-10-11,74,180871000
831,2025-09-08,24,138039000
832,2024-08-03,69,34272000
833,2025-03-02,69,595958000
834,2025-03-26,29,109576000
835,2024-11-07,8,231628000
836,2025-07-03,63,88725000
837,2025-06-24,45,63945000
838,2024-03-06,26,218379000
839,2024-11-13,29,307966000
840,2024-04-20,2,521313000
841,2025-06-14,63,277988000
842,2025-02-18,35,224135000
843,2024-12-26,52,2300000
844,2024-11-15,56,162982000
845,2025-04-21,7,166045000
846,2024-11-17,31,278121000
847,2025-02-14,51,196671000
848,2025-09-17,45,277884000
849,2024-08-16,76,221061000
850,2024-01-28,53,176051000
851,2024-02-01,5,171785000
852,2025-11-25,45,210982000
853,2024-06-03,80,84465000
854,2024-06-22,19,121920000
855,2024-06-06,21,56076000
856,2024-06-13,77,246616000
857,2024-08-17,43,19524000
858,2025-12-07,76,411007000
859,2025-10-30,64,186818000
860,2024-04-09,62,310445000
861,2025-04-28,26,75342000
862,2025-12-13,29,281627000
863,2025-12-21,5,106464000
864,2024-09-08,68,94050000
865,2024-03-09,32,96785000
866,2025-03-16,50,195275000
867,2024-06-25,32,92409000
868,2025-01-17,60,97676000
869,2025-01-20,61,82824000
870,2024-04-01,28,76027000
871,2024-12-23,49,314562000
872,2025-08-16,41,1548000
873,2025-09-16,24,374570000
874,2025-10-03,47,5272000
875,2025-10-05,3,268279000
876,2025-01-11,56,58800000
877,2025-07-23,49,232717000
878,2025-04-24,8,168638000
879,2024-01-04,37,215799000
880,2024-03-09,12,61930000
881,2024-06-19,19,49752000
882,2025-12-03,28,129886000
883,2024-02-05,1,395913000
884,2025-12-31,69,669552000
885,2024-11-26,41,117201000
886,2024-11-26,20,200790000
887,2024-11-21,24,273282000
888,2024-06-17,66,26252000
889,2025-08-19,69,140078000
890,2024-07-15,30,59128000
891,2024-10-04,68,57251000
892,2025-03-10,13,538610000
893,2024-07-21,21,288190000
894,2024-04-08,44,158894000
895,2025-09-01,2,282996000
896,2024-01-07,2,69315000
897,2024-09-26,27,258368000
898,2024-03-26,38,395022000
899,2024-04-20,9,228634000
900,2024-04-21,68,15402000
901,2025-10-22,17,276312000
902,2024-02-20,5,16282000
903,2025-12-17,41,673107000
904,2024-01-09,68,115447000
905,2024-01-25,11,29202000
906,2025-01-21,13,8675000
907,2025-11-16,46,188352000
908,2025-04-17,11,199548000
909,2025-04-11,39,548768000
910,2024-04-27,61,679307000
911,2025-03-19,38,291635000
912,2024-06-17,35,245989000
913,2024-05-05,26,35048000
914,2025-01-12,16,259070000
915,2025-10-18,11,136633000
916,2025-09-22,66,171125000
917,2025-07-20,21,389843000
918,2024-07-10,41,967590000
919,2025-06-15,37,297059000
920,2024-05-04,25,189560000
921,2024-05-19,38,510861000
922,2025-01-17,61,71496000
923,2025-01-18,33,158960000
924,2024-07-02,57,35238000
925,2024-07-18,65,325565000
926,2024-03-03,33,227963000
927,2024-02-18,39,338460000
928,2024-12-23,6,45726000
929,2024-12-25,26,216393000
930,2025-08-16,25,12925000
