IdDetalle,IdVenta,IdProducto,Cantidad,PrecioUnitario,Subtotal
129,10763,71,4,1185000,4740000
130,13234,379,5,175000,875000
131,19320,53,2,2681000,5362000
132,557,15,5,2216000,11080000
133,1242,302,4,807000,3228000
134,22687,362,2,5465000,10930000
135,1488,406,5,675000,3375000
136,20885,737,4,2705000,10820000
137,22440,350,5,164000,820000
138,12783,50,2,2479000,4958000
139,8542,225,5,2106000,10530000
140,12799,233,1,6545000,6545000
141,10318,247,2,2253000,4506000
142,4562,464,2,2238000,4476000
143,1801,559,5,741000,3705000
144,5058,159,3,1260000,3780000
145,4375,661,4,5786000,23144000
146,12125,418,3,444000,1332000
147,4589,755,5,138000,690000
148,9812,588,1,987000,987000
149,11123,682,4,444000,1776000
150,3953,64,3,1735000,5205000
151,12027,93,3,482000,1446000
152,5762,415,1,389000,389000
153,11106,92,2,2371000,4742000
154,17745,51,4,228000,912000
155,19452,699,5,672000,3360000
156,8530,682,2,444000,888000
157,19917,751,5,353000,1765000
158,23722,253,1,1424000,1424000
159,17670,476,1,285000,285000
160,1193,500,4,61000,244000
161,2213,381,2,282000,564000
162,7422,464,5,2238000,11190000
163,24606,389,2,332000,664000
164,11478,191,2,1747000,3494000
165,22342,24,3,579000,1737000
166,24669,365,5,3065000,15325000
167,6217,324,5,4849000,24245000
168,20876,637,2,1144000,2288000
169,18313,117,5,578000,2890000
170,9100,24,3,579000,1737000
171,24321,729,5,2285000,11425000
172,8768,158,3,109000,327000
173,9289,389,5,332000,1660000
174,22132,393,2,3631000,7262000
175,10750,662,5,461000,2305000
176,21880,540,2,329000,658000
177,15129,639,4,571000,2284000
178,838,623,1,1532000,1532000
179,8293,666,5,873000,4365000
180,5570,417,4,1487000,5948000
181,5392,798,5,132000,660000
182,12038,767,1,742000,742000
183,17448,337,5,3125000,15625000
184,21509,195,1,1414000,1414000
185,23768,412,1,505000,505000
186,11431,424,2,2537000,5074000
187,3566,375,3,4377000,13131000
188,22752,509,1,203000,203000
189,9553,297,3,369000,1107000
190,15806,8,1,604000,604000
191,18260,488,1,972000,972000
192,16303,359,2,401000,802000
193,18633,703,2,2906000,5812000
194,14914,161,2,1368000,2736000
195,6389,677,4,7432000,29728000
196,23609,482,3,862000,2586000
197,18305,652,4,1477000,5908000
198,18948,3,4,2261000,9044000
199,13575,713,5,486000,2430000
200,6073,690,2,592000,1184000
201,13518,66,2,1749000,3498000
202,4408,284,1,5553000,5553000
203,23587,67,3,1682000,5046000
204,3926,293,4,443000,1772000
205,21413,363,3,1540000,4620000
206,9112,524,2,1326000,2652000
207,2407,253,5,1424000,7120000
208,10564,156,4,1053000,4212000
209,19783,463,1,4422000,4422000
210,2258,511,5,691000,3455000
211,17896,335,1,545000,545000
212,14577,712,1,4964000,4964000
213,18152,584,4,1833000,7332000
214,23334,305,2,5301000,10602000
215,14809,696,2,839000,1678000
216,9714,755,1,138000,138000
217,17458,224,1,237000,237000
218,21874,280,4,664000,2656000
219,994,72,3,1756000,5268000
220,13508,740,4,7091000,28364000
221,16797,1,4,1963000,7852000
222,17392,513,1,1031000,1031000
223,15559,568,1,3496000,3496000
224,20342,664,1,192000,192000
225,21223,8,5,604000,3020000
226,496,519,4,788000,3152000
227,10854,526,3,110000,330000
228,11131,387,1,668000,668000
229,8993,386,4,304000,1216000
230,3752,450,5,4245000,21225000
231,23478,48,5,6530000,32650000
232,21058,397,5,2843000,14215000
233,16541,498,5,266000,1330000
234,651,355,2,737000,1474000
235,19945,113,2,1063000,2126000
236,8097,478,3,836000,2508000
237,17736,198,5,1091000,5455000
238,15660,141,3,1585000,4755000
239,2993,432,4,553000,2212000
240,1334,215,1,404000,404000
241,1413,706,5,543000,2715000
242,21245,291,3,196000,588000
243,11355,586,5,1336000,6680000
244,18526,311,3,276000,828000
245,18007,151,3,1746000,5238000
246,17531,332,2,457000,914000
247,5958,166,5,480000,2400000
248,6181,157,4,3257000,13028000
249,13636,82,5,139000,695000
250,19401,268,3,832000,2496000
251,19028,25,2,1533000,3066000
252,5245,54,5,510000,2550000
253,16758,25,4,1533000,6132000
254,23286,386,2,304000,608000
255,15091,745,5,999000,4995000
256,6924,664,3,192000,576000
257,13024,422,5,347000,1735000
258,12717,446,4,1786000,7144000
259,12185,160,4,2420000,9680000
260,8380,533,5,3204000,16020000
261,8188,292,2,145000,290000
262,19059,368,2,115000,230000
263,5676,753,3,539000,1617000
264,16846,52,3,473000,1419000
265,20736,265,2,371000,742000
266,4928,800,2,121000,242000
267,4478,201,1,1122000,1122000
268,361,135,5,276000,1380000
269,15555,322,4,973000,3892000
270,4356,499,3,1143000,3429000
271,24121,584,3,1833000,5499000
272,1051,256,1,336000,336000
273,11931,600,3,1181000,3543000
274,14333,232,1,1639000,1639000
275,18947,130,4,4432000,17728000
276,18938,12,1,294000,294000
277,1272,690,2,592000,1184000
278,19806,230,3,542000,1626000
279,7715,791,1,6527000,6527000
280,5981,213,2,1137000,2274000
281,10967,458,5,810000,4050000
282,4479,618,1,2083000,2083000
283,14536,133,3,2456000,7368000
284,4040,297,4,369000,1476000
285,5196,677,3,7432000,22296000
286,11653,183,3,1856000,5568000
287,10997,645,4,3315000,13260000
288,22693,225,5,2106000,10530000
289,13528,281,4,1007000,4028000
290,5815,212,2,462000,924000
291,19862,385,3,4996000,14988000
292,7391,108,4,785000,3140000
293,15557,36,5,2247000,11235000
294,23309,100,1,808000,808000
295,6861,396,4,147000,588000
296,10602,693,1,3213000,3213000
297,14967,623,1,1532000,1532000
298,19863,210,2,920000,1840000
299,12597,738,2,2670000,5340000
300,7829,771,5,351000,1755000
301,22681,328,3,450000,1350000
302,7066,165,5,1704000,8520000
303,7557,146,1,440000,440000
304,10096,418,3,444000,1332000
305,7713,238,3,988000,2964000
306,16356,603,4,427000,1708000
307,2461,602,5,2723000,13615000
308,2039,684,1,171000,171000
309,19190,310,2,7335000,14670000
310,6022,687,2,2547000,5094000
311,18594,226,5,2373000,11865000
312,14753,394,3,724000,2172000
313,9962,223,3,448000,1344000
314,15401,305,2,5301000,10602000
315,15268,517,1,1577000,1577000
316,1299,201,4,1122000,4488000
317,6786,188,4,379000,1516000
318,12587,732,2,386000,772000
319,22759,667,5,191000,955000
320,763,247,4,2253000,9012000
321,19481,421,1,1098000,1098000
322,13860,109,2,5512000,11024000
323,14784,9,4,272000,1088000
324,6620,629,4,3480000,13920000
325,4207,68,4,184000,736000
326,7057,668,4,2866000,11464000
327,16213,796,2,1499000,2998000
328,22266,202,2,129000,258000
329,13774,174,5,1136000,5680000
330,5300,151,5,1746000,8730000
331,13198,161,3,1368000,4104000
332,7201,331,5,430000,2150000
333,8038,135,5,276000,1380000
334,21040,98,4,4257000,17028000
335,12238,619,5,2334000,11670000
336,4445,602,3,2723000,8169000
337,12473,52,5,473000,2365000
338,18701,85,3,35000,105000
339,10449,661,2,5786000,11572000
340,20223,106,5,3214000,16070000
341,18646,410,2,2302000,4604000
342,223,347,3,674000,2022000
343,23319,264,2,1225000,2450000
344,6649,19,2,25000,50000
345,520,401,4,78000,312000
346,14026,518,2,4066000,8132000
347,16696,227,5,3281000,16405000
348,23200,565,2,568000,1136000
349,1566,419,3,1516000,4548000
350,11008,537,3,589000,1767000
351,4109,85,4,35000,140000
352,20454,449,1,167000,167000
353,113,51,5,228000,1140000
354,4456,94,3,1112000,3336000
355,19493,540,4,329000,1316000
356,21418,324,1,4849000,4849000
357,22123,628,3,2481000,7443000
358,15658,239,5,3020000,15100000
359,11801,530,3,280000,840000
360,2244,639,1,571000,571000
361,10455,5,2,1604000,3208000
362,7500,587,2,5107000,10214000
363,649,429,2,5250000,10500000
364,24665,49,5,1260000,6300000
365,19080,44,2,2540000,5080000
366,10114,80,2,209000,418000
367,15143,283,5,634000,3170000
368,20685,432,1,553000,553000
369,9754,288,4,182000,728000
370,21449,405,5,2050000,10250000
371,2823,748,3,816000,2448000
372,16845,154,5,1672000,8360000
373,707,148,1,2241000,2241000
374,15385,338,3,878000,2634000
375,6231,700,5,232000,1160000
376,5673,463,5,4422000,22110000
377,2228,453,1,1292000,1292000
378,14289,247,5,2253000,11265000
379,19683,532,5,2580000,12900000
380,16463,604,1,1502000,1502000
381,14871,447,1,2429000,2429000
382,4304,397,1,2843000,2843000
383,22162,359,1,401000,401000
384,7254,19,3,25000,75000
385,14454,350,1,164000,164000
386,2760,313,3,131000,393000
387,6327,496,3,187000,561000
388,436,300,1,555000,555000
389,5488,612,3,760000,2280000
390,11336,285,1,3825000,3825000
391,13635,787,4,2049000,8196000
392,892,32,3,1808000,5424000
393,7766,373,4,1977000,7908000
394,150,113,4,1063000,4252000
395,23147,125,1,398000,398000
396,2174,776,2,86000,172000
397,9038,677,4,7432000,29728000
398,22624,86,2,2738000,5476000
399,23995,401,5,78000,390000
400,18086,54,3,510000,1530000
401,4984,241,4,1681000,6724000
402,14151,237,3,5285000,15855000
403,3148,692,2,734000,1468000
404,22470,89,1,2005000,2005000
405,6371,49,2,1260000,2520000
406,13287,111,4,3982000,15928000
407,11153,403,5,239000,1195000
408,3384,719,3,1158000,3474000
409,16469,716,1,1514000,1514000
410,2973,641,2,1386000,2772000
411,3522,251,2,3149000,6298000
412,16787,511,1,691000,691000
413,15804,21,4,314000,1256000
414,13568,773,2,2120000,4240000
415,2358,572,4,1983000,7932000
416,11440,501,4,3276000,13104000
417,7034,105,1,3203000,3203000
418,4817,677,4,7432000,29728000
419,18698,429,1,5250000,5250000
420,13635,524,5,1326000,6630000
421,2249,249,5,316000,1580000
422,15222,672,5,2080000,10400000
423,18695,293,4,443000,1772000
424,16517,113,2,1063000,2126000
425,24094,754,2,646000,1292000
426,14366,739,1,135000,135000
427,1534,757,2,6457000,12914000
428,17165,329,1,47000,47000
429,4256,295,5,612000,3060000
430,14568,168,1,815000,815000
431,11997,400,4,1967000,7868000
432,18436,475,3,178000,534000
433,7865,273,5,1966000,9830000
434,9369,107,2,1185000,2370000
435,22469,615,1,80000,80000
436,15257,173,5,1970000,9850000
437,23256,324,5,4849000,24245000
438,22748,515,4,2822000,11288000
439,10809,290,5,214000,1070000
440,3414,310,2,7335000,14670000
441,17986,208,2,2968000,5936000
442,9967,746,1,2387000,2387000
443,23183,703,3,2906000,8718000
444,7780,352,4,213000,852000
445,10099,63,4,201000,804000
446,11657,746,1,2387000,2387000
447,12253,732,3,386000,1158000
448,22524,339,4,3338000,13352000
449,23594,642,4,1658000,6632000
450,12446,625,5,553000,2765000
451,17195,33,5,827000,4135000
452,3842,750,3,6430000,19290000
453,1817,293,1,443000,443000
454,19613,729,4,2285000,9140000
455,6625,445,5,220000,1100000
456,20618,172,5,783000,3915000
457,18922,19,1,25000,25000
458,22129,384,4,1519000,6076000
459,8557,754,1,646000,646000
460,11370,200,2,1500000,3000000
461,2923,321,2,2017000,4034000
462,7875,458,3,810000,2430000
463,4019,785,1,4109000,4109000
464,24286,43,1,1732000,1732000
465,7390,183,1,1856000,1856000
466,1902,574,2,130000,260000
467,16867,501,4,3276000,13104000
468,9472,698,2,777000,1554000
469,11594,775,1,1495000,1495000
470,1516,261,5,242000,1210000
471,23895,172,4,783000,3132000
472,2463,698,1,777000,777000
473,3465,272,2,238000,476000
474,12820,606,1,6052000,6052000
475,23890,459,3,264000,792000
476,1695,298,1,438000,438000
477,18680,124,3,619000,1857000
478,4722,610,2,4931000,9862000
479,9918,569,1,2178000,2178000
480,10330,328,5,450000,2250000
481,16907,95,1,576000,576000
482,1040,418,5,444000,2220000
483,22599,17,4,3797000,15188000
484,24187,461,5,3158000,15790000
485,10434,611,1,833000,833000
486,18650,368,3,115000,345000
487,13323,472,4,190000,760000
488,8328,235,1,830000,830000
489,9233,731,5,35000,175000
490,14943,763,4,192000,768000
491,10405,288,1,182000,182000
492,9342,520,4,2440000,9760000
493,5521,454,2,1584000,3168000
494,6566,171,2,327000,654000
495,16795,459,1,264000,264000
496,691,789,5,3015000,15075000
497,5558,706,5,543000,2715000
498,999,752,3,453000,1359000
499,127,494,1,5441000,5441000
500,20273,735,2,385000,770000
501,22492,759,3,440000,1320000
502,9551,298,1,438000,438000
503,14874,40,1,138000,138000
504,12646,287,2,1285000,2570000
505,2783,301,4,1080000,4320000
506,11601,502,5,687000,3435000
507,8893,224,1,237000,237000
508,22587,605,4,2248000,8992000
509,13244,171,2,327000,654000
510,21165,502,2,687000,1374000
511,16281,542,2,1459000,2918000
512,544,203,2,2690000,5380000
513,19932,238,2,988000,1976000
514,1460,328,1,450000,450000
515,14636,481,5,2883000,14415000
516,8353,119,3,108000,324000
517,17820,147,4,3376000,13504000
518,16311,659,1,1626000,1626000
519,4945,149,3,2686000,8058000
520,1340,300,1,555000,555000
521,23921,567,3,6238000,18714000
522,12278,403,1,239000,239000
523,20751,62,3,1454000,4362000
524,18013,500,3,61000,183000
525,4878,593,2,511000,1022000
526,17452,79,4,5741000,22964000
527,11582,249,4,316000,1264000
528,22465,547,3,687000,2061000
529,21649,352,1,213000,213000
530,24786,597,5,3239000,16195000
531,8334,626,1,1444000,1444000
532,20590,88,1,2508000,2508000
533,3690,671,3,6345000,19035000
534,7438,122,4,433000,1732000
535,16439,588,4,987000,3948000
536,13173,706,5,543000,2715000
537,6941,159,4,1260000,5040000
538,23300,520,2,2440000,4880000
539,19133,370,3,1767000,5301000
540,16486,340,1,2528000,2528000
541,10307,575,3,2116000,6348000
542,1521,310,4,7335000,29340000
543,13813,329,4,47000,188000
544,23141,81,2,5934000,11868000
545,9965,14,5,2147000,10735000
546,8724,754,1,646000,646000
547,20316,98,1,4257000,4257000
548,14363,210,5,920000,4600000
549,21425,470,4,911000,3644000
550,17475,46,4,1679000,6716000
551,7020,488,4,972000,3888000
552,4264,210,1,920000,920000
553,8447,168,4,815000,3260000
554,12505,342,3,1492000,4476000
555,8601,382,1,612000,612000
556,23870,112,3,2999000,8997000
557,12264,198,3,1091000,3273000
558,2560,323,4,1625000,6500000
559,8723,338,5,878000,4390000
560,6997,458,3,810000,2430000
561,4724,392,1,83000,83000
562,11632,337,1,3125000,3125000
563,2831,633,3,509000,1527000
564,1463,704,4,302000,1208000
565,18767,580,2,1368000,2736000
566,3431,381,4,282000,1128000
567,16976,599,3,3722000,11166000
568,19517,241,1,1681000,1681000
569,17002,741,3,2614000,7842000
570,3014,536,2,234000,468000
571,999,563,4,789000,3156000
572,24242,570,1,1123000,1123000
573,16714,152,4,1060000,4240000
574,11486,702,3,2353000,7059000
575,7194,45,3,242000,726000
576,13868,203,5,2690000,13450000
577,2955,745,4,999000,3996000
578,8832,719,2,1158000,2316000
579,9136,658,4,2000000,8000000
580,7627,368,2,115000,230000
581,15762,121,4,1287000,5148000
582,23914,21,3,314000,942000
583,24010,669,1,316000,316000
584,2679,137,4,442000,1768000
585,23362,542,5,1459000,7295000
586,13574,316,2,119000,238000
587,21583,98,4,4257000,17028000
588,4527,81,3,5934000,17802000
589,16458,191,1,1747000,1747000
590,14094,439,1,3336000,3336000
591,21400,411,3,1558000,4674000
592,21352,800,1,121000,121000
593,13464,586,5,1336000,6680000
594,18077,798,5,132000,660000
595,20040,135,4,276000,1104000
596,17890,767,5,742000,3710000
597,21482,739,5,135000,675000
598,23497,770,4,639000,2556000
599,15517,247,2,2253000,4506000
600,3215,525,4,5323000,21292000
601,19990,8,5,604000,3020000
602,2153,266,3,1472000,4416000
603,24322,799,3,370000,1110000
604,20798,87,4,4738000,18952000
605,3116,627,1,757000,757000
606,11235,608,2,71000,142000
607,14525,536,4,234000,936000
608,16718,580,4,1368000,5472000
609,13338,510,3,221000,663000
610,12298,103,1,2825000,2825000
611,16455,635,3,4012000,12036000
612,13049,54,5,510000,2550000
613,19989,376,5,1678000,8390000
614,13738,508,4,2219000,8876000
615,5556,142,4,980000,3920000
616,17263,113,4,1063000,4252000
617,21351,723,2,41000,82000
618,15019,204,4,716000,2864000
619,1230,97,1,188000,188000
620,14489,99,1,193000,193000
621,23514,361,4,803000,3212000
622,11092,779,1,1433000,1433000
623,4947,715,2,239000,478000
624,4529,260,4,127000,508000
625,17868,535,5,718000,3590000
626,3033,183,5,1856000,9280000
627,20639,597,2,3239000,6478000
628,23811,263,5,1443000,7215000
629,7129,506,5,236000,1180000
630,9535,600,1,1181000,1181000
631,23610,500,1,61000,61000
632,5649,432,2,553000,1106000
633,10561,284,1,5553000,5553000
634,15869,140,2,5734000,11468000
635,9244,171,3,327000,981000
636,2896,679,3,610000,1830000
637,9361,285,3,3825000,11475000
638,24723,773,5,2120000,10600000
639,960,331,5,430000,2150000
640,5542,75,3,3181000,9543000
641,10372,153,3,1008000,3024000
642,1635,286,5,320000,1600000
643,17551,774,3,7138000,21414000
644,16752,250,2,348000,696000
645,19023,91,4,62000,248000
646,11853,103,3,2825000,8475000
647,23449,684,5,171000,855000
648,13374,781,5,548000,2740000
649,9639,337,5,3125000,15625000
650,20372,298,1,438000,438000
651,19066,756,1,176000,176000
652,9430,446,2,1786000,3572000
653,23478,556,5,6250000,31250000
654,11252,618,2,2083000,4166000
655,19507,710,1,6542000,6542000
656,809,571,2,1957000,3914000
657,7444,772,5,493000,2465000
658,15164,400,4,1967000,7868000
659,19150,162,1,6905000,6905000
660,4526,258,5,1132000,5660000
661,9256,546,2,2363000,4726000
662,19487,523,3,4586000,13758000
663,5299,396,2,147000,294000
664,13825,153,5,1008000,5040000
665,15693,747,2,312000,624000
666,10822,243,4,1645000,6580000
667,7559,247,5,2253000,11265000
668,21674,419,2,1516000,3032000
669,18353,229,1,355000,355000
670,16096,52,4,473000,1892000
671,20385,484,4,1414000,5656000
672,18056,89,4,2005000,8020000
673,13926,563,1,789000,789000
674,13834,402,1,194000,194000
675,21064,599,1,3722000,3722000
676,4694,224,2,237000,474000
677,18682,660,5,242000,1210000
678,1216,286,5,320000,1600000
679,20855,277,5,714000,3570000
680,11626,579,5,563000,2815000
681,1963,375,1,4377000,4377000
682,7477,33,1,827000,827000
683,7844,328,5,450000,2250000
684,930,701,1,4396000,4396000
685,19696,747,1,312000,312000
686,13677,284,4,5553000,22212000
687,1011,389,4,332000,1328000
688,18768,398,2,2012000,4024000
689,19723,716,3,1514000,4542000
690,5384,168,4,815000,3260000
691,5097,558,5,618000,3090000
692,14289,308,2,6096000,12192000
693,1730,125,2,398000,796000
694,3013,193,4,446000,1784000
695,15082,117,3,578000,1734000
696,18811,328,2,450000,900000
697,8899,578,1,163000,163000
698,14035,543,5,1534000,7670000
699,22158,382,4,612000,2448000
700,21370,352,4,213000,852000
701,12220,375,1,4377000,4377000
702,3487,714,1,2119000,2119000
703,2662,102,1,84000,84000
704,20326,54,2,510000,1020000
705,4732,41,1,1311000,1311000
706,8404,161,1,1368000,1368000
707,2536,54,1,510000,510000
708,8469,633,4,509000,2036000
709,17398,384,5,1519000,7595000
710,1061,693,2,3213000,6426000
711,1558,206,5,365000,1825000
712,20780,516,1,4197000,4197000
713,11622,250,4,348000,1392000
714,18298,662,1,461000,461000
715,6003,610,5,4931000,24655000
716,19874,194,5,197000,985000
717,19110,550,4,225000,900000
718,16891,155,5,2671000,13355000
719,10363,400,4,1967000,7868000
720,6549,435,1,333000,333000
721,1973,601,5,2366000,11830000
722,17481,554,2,775000,1550000
723,11492,317,1,4814000,4814000
724,8462,518,3,4066000,12198000
725,13949,446,4,1786000,7144000
726,21727,631,2,1796000,3592000
727,21445,292,3,145000,435000
728,24678,671,2,6345000,12690000
729,14361,588,2,987000,1974000
730,19315,461,5,3158000,15790000
731,4945,263,2,1443000,2886000
732,19476,483,4,834000,3336000
733,23120,430,2,2188000,4376000
734,5647,374,5,269000,1345000
735,23670,280,5,664000,3320000
736,10143,739,1,135000,135000
737,2427,459,3,264000,792000
738,386,121,1,1287000,1287000
739,14261,590,3,437000,1311000
740,15599,461,4,3158000,12632000
741,15103,615,4,80000,320000
742,19253,548,5,882000,4410000
743,330,193,4,446000,1784000
744,1586,178,1,1586000,1586000
745,12841,678,5,1873000,9365000
746,14248,667,3,191000,573000
747,19609,772,4,493000,1972000
748,15420,122,4,433000,1732000
749,5021,119,1,108000,108000
750,13852,655,4,1995000,7980000
751,3244,481,5,2883000,14415000
752,19837,501,3,3276000,9828000
753,3833,37,4,537000,2148000
754,4256,416,4,1534000,6136000
755,13463,611,4,833000,3332000
756,22305,747,4,312000,1248000
757,15535,516,3,4197000,12591000
758,1988,397,4,2843000,11372000
759,16521,37,3,537000,1611000
760,13972,608,5,71000,355000
761,4103,154,5,1672000,8360000
762,6082,56,1,1527000,1527000
763,11597,631,4,1796000,7184000
764,23717,267,4,1525000,6100000
765,18282,787,3,2049000,6147000
766,16676,175,2,2993000,5986000
767,8311,53,2,2681000,5362000
768,9892,604,1,1502000,1502000
769,1126,227,2,3281000,6562000
770,6894,399,3,239000,717000
771,23584,380,1,1495000,1495000
772,9725,447,5,2429000,12145000
773,24834,794,4,139000,556000
774,11912,740,5,7091000,35455000
775,19684,531,5,5096000,25480000
776,3730,450,2,4245000,8490000
777,14745,211,3,239000,717000
778,15674,172,2,783000,1566000
779,10967,64,3,1735000,5205000
780,6581,766,5,2000000,10000000
781,17465,453,4,1292000,5168000
782,21173,699,2,672000,1344000
783,8715,385,2,4996000,9992000
784,14680,394,5,724000,3620000
785,1014,800,2,121000,242000
786,12833,162,5,6905000,34525000
787,1653,573,2,401000,802000
788,7652,304,4,202000,808000
789,11793,773,5,2120000,10600000
790,2794,295,3,612000,1836000
791,11543,427,3,77000,231000
792,8970,144,5,1730000,8650000
793,5457,581,4,560000,2240000
794,13433,703,1,2906000,2906000
795,10983,392,1,83000,83000
796,22156,373,4,1977000,7908000
797,2348,46,3,1679000,5037000
798,9094,614,4,194000,776000
799,19958,71,2,1185000,2370000
800,9303,628,3,2481000,7443000
801,5859,392,4,83000,332000
802,12129,119,3,108000,324000
803,21605,115,2,376000,752000
804,24835,690,2,592000,1184000
805,16239,104,3,1680000,5040000
806,19362,495,1,522000,522000
807,21993,485,3,721000,2163000
808,17885,652,4,1477000,5908000
809,16461,201,5,1122000,5610000
810,14823,313,1,131000,131000
811,15227,501,4,3276000,13104000
812,21513,197,3,2230000,6690000
813,5954,760,2,1717000,3434000
814,4141,242,3,2420000,7260000
815,19385,187,2,41000,82000
816,1172,675,5,822000,4110000
817,1461,183,2,1856000,3712000
818,6806,467,4,165000,660000
819,840,522,5,1870000,9350000
820,13266,477,2,1684000,3368000
821,18866,4,2,4260000,8520000
822,2808,607,3,454000,1362000
823,12283,218,4,1412000,5648000
824,12888,43,5,1732000,8660000
825,1640,174,1,1136000,1136000
826,3530,299,5,1845000,9225000
827,18251,26,3,136000,408000
828,5102,593,2,511000,1022000
829,3514,528,3,2343000,7029000
830,19250,641,3,1386000,4158000
831,16953,16,4,1043000,4172000
832,10286,436,5,517000,2585000
833,2875,566,5,1014000,5070000
834,16323,486,1,2640000,2640000
835,24000,134,4,356000,1424000
836,11347,673,3,1273000,3819000
837,16324,637,5,1144000,5720000
838,23227,486,3,2640000,7920000
839,968,468,2,639000,1278000
840,8393,362,2,5465000,10930000
841,3150,749,3,800000,2400000
842,12655,771,2,351000,702000
843,12824,687,3,2547000,7641000
844,16554,642,2,1658000,3316000
845,23788,156,5,1053000,5265000
846,10529,581,3,560000,1680000
847,4049,130,2,4432000,8864000
848,23302,501,5,3276000,16380000
849,21499,716,1,1514000,1514000
850,14957,268,5,832000,4160000
851,8369,702,4,2353000,9412000
852,5498,569,3,2178000,6534000
853,24446,187,3,41000,123000
854,10853,687,3,2547000,7641000
855,11670,566,3,1014000,3042000
856,6155,676,4,3432000,13728000
857,13283,191,2,1747000,3494000
858,22505,639,3,571000,1713000
