IdDetalleCompra,IdCompra,IdProducto,Cantidad,Costo
227,2763,377,40,103000
228,3579,589,81,651000
229,2569,687,77,1703000
230,4955,633,23,273000
231,4459,648,29,33000
232,7,201,45,781000
233,138,755,14,92000
234,3178,335,32,360000
235,1974,616,61,4020000
236,3172,171,98,240000
237,4179,634,86,1251000
238,2472,647,48,19000
239,3076,772,17,290000
240,3405,220,51,53000
241,3857,154,57,1102000
242,4828,668,21,2118000
243,2839,622,69,420000
244,325,708,44,2988000
245,1791,595,16,2709000
246,4675,438,100,335000
247,4365,694,88,82000
248,4189,32,18,1207000
249,1160,583,64,4144000
250,2165,500,24,34000
251,1557,311,12,205000
252,3191,233,38,4402000
253,2929,68,78,130000
254,3887,736,60,459000
255,80,12,56,160000
256,4232,5,58,1040000
257,4537,527,52,584000
258,1763,284,39,3671000
259,2703,589,40,694000
260,4825,702,12,1298000
261,4173,684,30,113000
262,2980,214,13,890000
263,256,635,88,2666000
264,1031,514,58,3382000
265,964,739,12,75000
266,2939,233,76,4692000
267,1896,455,14,89000
268,4821,347,49,426000
269,3863,135,40,154000
270,532,255,60,216000
271,3912,441,57,1019000
272,139,280,26,478000
273,3096,75,16,1609000
274,2037,203,96,2001000
275,3473,452,78,158000
276,2419,596,18,258000
277,2808,143,20,408000
278,3602,391,57,76000
279,2578,226,92,1416000
280,3504,101,38,251000
281,305,270,22,1006000
282,773,3,70,1158000
283,3776,739,94,91000
284,476,483,93,522000
285,241,668,76,2112000
286,3386,292,51,99000
287,2618,506,43,160000
288,1122,799,83,218000
289,4233,28,17,1312000
290,148,250,99,248000
291,3029,419,14,909000
292,1816,495,55,366000
293,4198,703,34,1538000
294,2040,700,42,162000
295,2049,520,91,1739000
296,2906,156,98,754000
297,2753,10,88,3780000
298,4462,244,28,150000
299,2238,490,26,324000
300,4783,681,88,765000
301,2894,114,32,355000
302,1888,771,81,263000
303,547,64,55,1125000
304,914,267,32,847000
305,3168,345,79,1620000
306,1940,323,91,1170000
307,1575,62,89,746000
308,79,675,9,526000
309,2956,149,82,1478000
310,1330,30,10,1567000
311,3422,497,78,1304000
312,1509,701,33,2567000
313,371,173,48,1365000
314,3651,787,53,1486000
315,301,327,58,512000
316,3822,370,15,1116000
317,329,54,29,327000
318,808,641,51,787000
319,1380,113,18,680000
320,2653,201,53,586000
321,4118,687,32,1641000
322,2589,598,9,869000
323,3024,75,84,1983000
324,2969,649,11,1069000
325,4651,679,16,352000
326,164,780,56,1271000
327,4866,619,78,1654000
328,4313,546,16,1534000
329,2498,323,72,900000
330,4901,333,5,1605000
331,1933,369,32,568000
332,16,793,68,126000
333,4518,661,15,3008000
334,3449,190,69,1130000
335,3569,53,63,1564000
336,3354,394,47,516000
337,2123,602,17,1908000
338,2869,527,66,560000
339,4500,315,78,382000
340,1380,318,64,461000
341,561,116,50,3719000
342,2751,565,10,289000
343,1777,506,87,133000
344,2984,226,89,1659000
345,204,457,25,1538000
346,2403,90,100,919000
347,472,168,11,441000
348,4409,92,14,1190000
349,4428,256,46,218000
350,3738,715,100,125000
351,1478,20,13,802000
352,1639,364,21,188000
353,3656,271,13,1270000
354,3115,246,82,4048000
355,2867,111,13,2158000
356,3710,608,32,52000
357,413,532,38,1894000
358,1634,240,25,216000
359,4271,775,63,964000
360,2842,215,37,247000
361,1455,266,78,890000
362,4544,522,48,1004000
363,4204,388,16,691000
364,1276,215,26,266000
365,2196,444,75,46000
366,1128,678,6,1040000
367,1563,130,72,2387000
368,3769,553,72,1888000
369,1253,691,39,1131000
370,404,789,27,1844000
371,2095,383,61,1519000
372,2082,118,32,101000
373,472,735,23,236000
374,1825,659,64,861000
375,727,457,5,1480000
376,4587,721,33,459000
377,3705,573,14,295000
378,1979,322,53,615000
379,4040,241,34,888000
380,3801,185,25,359000
381,898,741,82,1514000
382,199,487,67,3645000
383,1118,780,89,1261000
384,557,290,100,132000
385,3317,474,17,2487000
386,2105,367,21,637000
387,4686,638,99,312000
388,4551,400,92,993000
389,295,359,87,248000
390,2593,251,16,2235000
391,2103,207,64,1275000
392,4882,500,38,34000
393,4214,179,79,444000
394,185,618,55,1216000
395,3445,775,76,921000
396,1347,639,31,378000
397,4569,777,17,926000
398,697,453,50,655000
399,1121,293,14,304000
400,228,480,69,1100000
401,4971,251,5,2199000
402,1986,726,43,231000
403,3216,397,48,1671000
404,993,45,92,141000
405,859,481,82,1446000
406,4122,758,77,1175000
407,1678,215,51,270000
408,918,741,74,1816000
409,3528,490,37,309000
410,562,494,30,3347000
411,2603,756,69,118000
412,445,196,33,93000
413,602,124,57,439000
414,3938,201,30,683000
415,4707,408,32,1415000
416,2409,181,60,131000
417,815,454,93,982000
418,4145,79,57,4201000
419,2270,608,85,40000
420,4253,482,50,596000
421,4533,649,40,937000
422,2408,358,79,1473000
423,814,548,20,586000
424,2763,165,75,873000
425,918,565,19,317000
426,3781,448,33,63000
427,3297,259,75,1855000
428,2787,584,76,1021000
429,2826,581,85,381000
430,2857,145,7,1126000
431,2076,569,35,1527000
432,4393,488,70,657000
433,1121,494,35,2963000
434,1531,328,55,298000
435,856,703,72,2043000
436,801,479,84,577000
437,1081,65,74,662000
438,209,677,79,4310000
439,342,54,75,299000
440,1974,710,53,3755000
441,4406,207,47,1252000
442,1322,170,74,256000
443,2055,617,11,606000
444,1090,219,99,1089000
445,4447,67,36,1089000
446,4999,127,85,259000
447,3607,673,99,859000
448,4576,216,27,1126000
449,3692,479,50,420000
450,2093,74,64,291000
451,2180,707,61,430000
452,180,326,76,25000
453,2589,340,50,1485000
454,2258,506,6,130000
455,1314,183,64,1138000
456,4813,449,82,120000
457,40,346,33,151000
458,1989,643,54,85000
459,4348,244,73,164000
460,3926,466,95,712000
461,563,338,76,530000
462,4434,273,100,1377000
463,3001,580,74,723000
464,2952,310,45,4825000
465,2124,375,35,2219000
466,4439,786,66,164000
467,384,671,64,4048000
468,984,435,50,238000
469,553,220,65,50000
470,1803,418,34,324000
471,681,112,67,2069000
472,2238,366,20,592000
473,2058,559,53,458000
474,3760,34,65,98000
475,4433,545,10,1311000
476,2416,429,16,3399000
477,2735,723,57,29000
478,2281,612,23,517000
479,268,325,36,879000
480,3887,448,38,77000
481,809,755,60,70000
482,1469,237,36,3012000
483,2710,85,15,22000
484,2065,72,22,1244000
485,4872,308,71,3759000
486,4000,739,17,86000
487,4375,549,43,2260000
488,1426,50,22,1709000
489,1657,159,29,810000
490,346,492,31,230000
491,115,292,70,101000
492,4937,533,17,2210000
493,1150,105,84,1793000
494,300,670,28,678000
495,689,149,20,1825000
496,2346,238,88,590000
497,2421,372,51,354000
498,2216,452,52,186000
499,790,620,73,1459000
500,4125,323,89,1051000
501,218,69,23,146000
502,2371,402,55,139000
503,2915,375,100,2624000
504,2686,685,27,890000
505,3832,776,59,50000
506,4712,716,63,974000
507,207,90,69,911000
508,1847,308,56,3905000
509,258,596,14,300000
510,4628,799,96,189000
511,2673,35,38,162000
512,4176,127,10,283000
513,4033,631,68,1125000
514,3769,187,94,22000
515,1778,435,29,169000
516,4731,343,66,1611000
517,874,329,52,31000
518,2148,525,23,3153000
519,1258,520,63,1802000
520,1343,267,79,925000
521,3469,340,98,1772000
522,3010,308,70,3847000
523,2047,14,27,1095000
524,2725,230,43,306000
525,3208,567,99,3751000
526,2986,113,59,577000
527,4646,331,25,314000
528,262,342,79,1013000
529,4819,656,40,2547000
530,3795,556,46,3843000
531,1687,124,7,439000
532,2799,491,34,138000
533,2275,158,54,80000
534,2023,536,40,152000
535,3236,237,89,3293000
536,1470,659,59,1038000
537,1223,36,35,1623000
538,1484,232,52,1122000
539,3355,245,99,616000
540,3021,109,45,3427000
541,1292,426,82,456000
542,480,550,27,137000
543,3808,295,56,351000
544,3379,80,37,107000
545,4141,786,21,203000
546,3799,413,34,5239000
547,3095,391,50,67000
548,2130,239,31,1598000
549,2503,644,96,44000
550,479,374,55,201000
551,1567,179,72,486000
552,1022,512,31,51000
553,4419,461,71,1894000
554,770,632,82,102000
555,807,151,38,1106000
556,2574,384,25,919000
557,1041,351,62,48000
558,4701,177,82,1145000
559,2840,124,47,460000
560,4543,467,64,115000
561,4033,298,66,321000
562,438,279,100,3380000
563,4001,675,82,511000
564,1803,575,77,1536000
565,3894,218,92,813000
566,1743,353,46,677000
567,2263,473,51,809000
568,3036,624,25,136000
569,1706,774,79,3796000
570,2060,76,67,957000
571,248,283,70,474000
572,3494,655,67,1005000
573,312,562,43,48000
574,1499,332,72,327000
575,2064,624,73,102000
576,527,473,66,606000
577,1230,461,14,2196000
578,3507,80,13,114000
579,1118,341,53,1822000
580,2016,75,46,2304000
581,2039,524,62,864000
582,2374,100,77,535000
583,3399,681,71,902000
584,3268,494,54,3680000
585,1325,304,84,134000
586,4226,74,94,308000
587,4253,198,60,654000
588,3428,7,62,907000
589,2878,279,58,2865000
590,2641,418,48,287000
591,3126,404,54,3613000
592,2942,440,99,289000
593,1624,738,37,1892000
594,4673,81,24,2977000
595,24,297,77,225000
596,1196,395,45,2606000
597,211,436,68,336000
598,4350,782,32,3610000
599,590,631,5,1038000
600,3802,187,53,22000
601,4784,594,69,3673000
602,2017,69,60,182000
603,4908,362,40,3661000
604,3102,326,41,20000
605,4915,685,11,669000
606,1121,426,63,499000
607,2608,355,88,443000
608,2982,553,86,2245000
609,1691,345,55,1881000
610,4361,612,72,415000
611,3165,789,29,1594000
612,3059,706,57,280000
613,2123,215,32,268000
614,3475,639,87,392000
615,67,783,25,490000
616,774,241,85,1079000
617,2771,699,9,389000
618,683,300,78,351000
619,3650,596,77,301000
620,1498,86,94,1827000
621,840,427,46,46000
622,305,756,84,88000
623,4679,512,85,44000
624,398,29,84,1015000
625,3712,236,58,4004000
626,587,662,13,300000
627,4181,231,67,1602000
628,3111,455,96,110000
629,847,150,10,1564000
630,298,165,90,934000
631,922,612,72,425000
632,2303,681,62,911000
633,820,78,32,342000
634,1147,762,21,139000
635,3925,673,60,764000
636,2904,67,59,1217000
637,2932,235,69,617000
638,2806,665,37,707000
639,1350,284,74,3923000
640,2357,614,64,131000
641,4939,524,32,929000
642,4483,5,10,891000
643,4063,735,14,279000
644,1361,94,85,801000
645,3674,266,67,909000
646,506,555,69,1197000
647,1500,105,76,1705000
648,3758,160,92,1394000
649,3941,140,35,3100000
650,1860,134,100,215000
651,1600,623,29,777000
652,3015,165,53,1266000
653,399,192,51,1561000
654,2238,486,18,1680000
655,1205,214,26,871000
656,2798,425,71,1699000
657,3103,781,24,337000
658,367,526,45,72000
659,1239,632,23,100000
660,902,379,19,126000
661,1851,578,36,84000
662,595,118,20,83000
663,650,670,66,542000
664,1685,155,26,1378000
665,3944,465,20,1620000
666,3098,608,59,42000
667,1910,214,23,926000
668,3601,509,65,136000
669,1961,316,8,68000
670,3671,75,52,1897000
671,3655,623,45,813000
672,248,397,29,1517000
673,4983,535,71,391000
674,4208,100,96,519000
675,2918,148,13,1141000
676,1376,694,44,89000
677,4636,322,32,715000
678,75,6,95,974000
679,4787,435,76,194000
680,1241,406,7,442000
681,3980,648,68,28000
682,1285,237,96,3608000
683,1367,510,45,119000
684,4195,594,13,2597000
685,2405,321,67,1348000
686,3506,461,27,2052000
687,3027,767,6,462000
688,2125,656,55,2530000
689,827,611,51,427000
690,2639,643,81,97000
691,4307,210,58,603000
692,4141,289,30,677000
693,1679,747,26,199000
694,457,384,82,886000
695,2058,702,54,1369000
696,2378,522,30,1025000
697,2537,549,92,1939000
698,2262,451,88,27000
699,4744,242,98,1722000
700,1755,23,96,485000
701,1357,647,14,18000
702,640,428,33,1025000
703,744,186,46,42000
704,3756,576,80,172000
705,2204,37,36,399000
706,243,370,45,1319000
707,870,61,18,102000
708,2415,790,46,296000
709,3674,307,48,269000
710,4360,240,30,210000
711,3265,610,52,2834000
712,3942,98,36,2731000
713,4899,480,81,857000
714,4453,230,45,303000
715,2342,500,8,32000
716,373,298,85,295000
717,3812,789,57,2134000
718,959,159,18,684000
719,3618,106,44,1970000
720,3880,586,99,994000
721,2482,377,66,98000
722,1854,259,35,1731000
723,948,421,77,681000
724,4772,679,47,426000
725,3607,351,14,49000
726,4030,66,77,1145000
727,855,117,14,426000
728,652,554,53,493000
729,1784,433,16,351000
730,2021,1,67,1400000
731,3952,677,50,4007000
732,2643,467,10,123000
733,822,273,91,1239000
734,2921,212,58,242000
735,1902,275,66,3813000
736,2138,132,21,307000
737,98,728,37,505000
738,4809,139,62,3602000
739,3847,735,7,206000
740,3151,230,12,324000
741,706,103,21,1818000
742,3559,588,80,679000
743,4938,754,57,335000
744,1682,612,86,447000
745,2658,550,42,137000
746,2637,283,43,380000
747,3573,256,29,202000
748,1644,342,92,1106000
749,2194,326,76,24000
750,3396,728,89,563000
751,3096,338,90,565000
752,4141,589,49,838000
753,2989,160,83,1684000
754,1159,301,59,719000
755,2679,168,14,445000
756,3027,506,52,175000
757,4336,372,71,393000
758,521,676,25,1966000
759,871,166,44,351000
760,1279,557,56,249000
761,4610,593,56,274000
762,4639,671,92,4542000
763,3809,713,99,263000
764,1887,690,81,427000
765,356,715,8,143000
766,1182,441,99,1322000
767,2449,538,63,867000
768,1903,559,56,554000
769,2067,788,10,773000
770,3582,746,14,1341000
771,1754,466,5,577000
772,4162,346,98,105000
773,1968,612,97,565000
774,2471,687,60,1454000
775,44,200,43,796000
776,1476,469,72,1520000
777,862,598,77,768000
778,1602,338,32,520000
779,4470,730,11,61000
780,3534,332,32,292000
781,2359,289,41,628000
782,3343,21,90,200000
783,2614,799,52,275000
784,795,746,45,1240000
785,3743,307,37,344000
786,288,426,82,390000
787,3785,429,22,3702000
788,3433,697,67,2965000
789,255,207,78,1449000
790,1934,463,26,2318000
791,4399,785,22,2088000
792,2199,227,95,2083000
793,548,179,33,445000
794,600,480,37,1070000
795,4734,223,44,239000
796,221,582,55,874000
797,3913,281,89,592000
798,2370,726,70,213000
799,883,616,57,5299000
800,2117,197,21,1576000
801,3385,735,37,205000
802,495,795,57,1208000
803,1834,547,53,406000
804,4787,3,97,1235000
805,4129,792,9,3081000
806,3916,509,97,141000
807,2654,588,57,660000
808,71,271,66,932000
809,499,120,55,131000
810,391,710,57,4585000
811,4864,326,12,18000
812,4382,578,93,106000
813,1706,657,55,1777000
814,1521,384,67,1068000
815,3315,497,85,1326000
816,4698,268,10,514000
817,1073,336,10,43000
818,3551,204,89,490000
819,1856,10,30,4582000
820,2718,755,49,103000
821,3495,662,87,343000
822,3435,221,72,4392000
823,4147,482,92,583000
824,1323,68,92,136000
825,3324,57,86,347000
826,921,606,73,3607000
827,3757,464,59,1297000
828,2904,68,73,116000
829,4423,256,36,220000
830,2178,758,22,1438000
831,383,317,67,2971000
832,4204,419,24,956000
833,338,777,9,1094000
834,3647,186,51,46000
835,1052,485,20,530000
836,1963,342,26,751000
837,4834,713,48,276000
838,4564,417,53,1061000
839,4031,555,58,1308000
840,1345,231,65,1610000
841,1732,387,18,484000
842,898,379,78,91000
843,2611,51,48,170000
844,3424,171,53,201000
845,751,610,76,3650000
846,3775,221,83,3698000
847,1048,313,30,91000
848,2449,525,25,2757000
849,4553,621,65,957000
850,3327,197,6,1621000
851,74,243,40,1076000
852,1534,257,42,40000
853,2477,640,32,443000
854,4139,325,81,617000
855,2926,772,29,301000
856,4673,795,5,927000
857,574,692,20,418000
858,4046,699,97,473000
859,3154,166,15,316000
860,4286,513,56,567000
861,3002,370,63,1035000
862,4288,512,74,53000
863,1737,485,24,534000
864,2956,557,28,286000
865,1245,546,57,1515000
866,3343,563,16,571000
867,99,651,29,1339000
868,4493,107,46,718000
869,313,249,53,171000
870,121,343,8,1574000
871,2682,118,99,101000
872,693,64,56,902000
873,896,153,75,702000
874,1964,613,18,165000
875,1493,231,47,1849000
876,4793,596,96,296000
877,3560,365,47,2155000
878,1524,629,65,2584000
879,3147,697,70,2809000
880,2909,595,19,3132000
881,4147,492,69,201000
882,2343,229,81,215000
883,3632,12,45,192000
884,3180,507,48,73000
885,4734,520,95,1724000
886,1304,237,78,2925000
887,3236,630,59,2079000
888,987,381,34,181000
889,3071,321,94,1232000
890,2362,617,6,589000
891,3491,530,77,179000
892,4193,454,26,904000
893,1329,209,64,1083000
894,2742,333,72,1307000
895,3653,542,18,842000
896,4813,83,50,3642000
897,3312,694,44,82000
898,3804,243,18,841000
899,4568,565,29,361000
900,3519,208,20,1922000
901,4105,56,69,808000
902,2536,196,20,102000
903,4610,111,90,2851000
904,4095,539,73,1266000
905,770,197,44,1474000
906,2768,483,68,446000
907,263,126,22,861000
908,2716,251,7,1817000
909,229,631,44,1115000
910,4894,204,75,426000
911,4089,176,92,406000
912,395,63,59,116000
913,3494,141,23,994000
914,2787,275,65,3960000
915,594,1,91,997000
916,1589,23,79,438000
917,3417,20,22,772000
918,3601,230,28,324000
919,2194,593,96,262000
920,2183,577,97,129000
921,570,637,6,703000
922,4921,618,12,1525000
923,2949,153,91,598000
924,103,537,86,304000
925,1071,239,41,1802000
926,270,398,77,1247000
927,641,219,96,832000
928,1460,104,75,914000
929,3521,510,11,145000
930,2476,171,69,234000
931,159,619,65,1291000
932,3,212,44,268000
933,1471,206,6,243000
934,270,627,68,563000
935,493,83,26,4103000
936,1070,220,33,57000
937,1220,794,10,84000
938,674,547,46,372000
939,647,658,37,1003000
940,1059,94,35,786000
941,1924,32,79,1000000
942,2614,758,89,1596000
943,836,67,28,1100000
944,3857,525,87,3084000
945,2856,48,74,4050000
946,2251,117,63,425000
947,1608,493,64,3403000
948,107,696,83,596000
949,2829,184,19,65000
950,220,624,16,142000
951,911,6,49,999000
952,2589,5,89,814000
953,1355,155,75,1392000
954,3492,501,97,2347000
955,2534,683,81,1332000
956,2166,281,70,550000
957,4494,337,62,1796000
958,4027,671,13,3265000
959,2371,315,66,362000
960,3006,288,94,102000
961,2947,396,50,80000
962,486,360,24,695000
963,2130,219,77,918000
964,3075,750,51,3854000
965,3200,399,56,160000
966,1586,350,20,96000
967,2471,380,92,824000
968,1900,745,7,704000
969,559,185,67,362000
970,4922,751,94,213000
971,1943,156,99,744000
972,614,759,37,289000
973,2633,205,23,4036000
974,1622,236,6,4158000
975,2414,644,36,43000
976,1250,443,75,163000
977,1128,219,5,785000
978,216,550,81,122000
979,1286,399,10,132000
980,1291,757,82,3439000
981,4628,699,72,403000
982,1476,334,99,575000
983,4161,538,40,956000
984,956,279,29,2738000
985,2803,682,99,224000
986,1855,290,59,147000
987,2037,514,76,3113000
988,1065,431,15,160000
989,1378,13,97,769000
990,475,162,33,4203000
991,4856,469,84,1678000
992,4854,747,13,179000
993,4663,357,25,251000
994,550,145,57,1312000
995,197,62,25,878000
996,1020,602,61,1615000
997,1160,55,84,77000
998,1225,342,39,948000
999,2267,386,75,199000
1000,3580,751,12,193000
1001,4634,80,89,135000
1002,183,614,74,145000
1003,723,720,10,1373000
1004,1072,159,53,837000
1005,1745,489,29,2519000
1006,2062,171,25,225000
1007,4610,362,60,3619000
1008,4668,280,12,400000
1009,4325,737,90,1437000
1010,3917,546,50,1439000
1011,2108,190,92,1136000
1012,4058,19,92,13000
1013,3860,732,41,249000
1014,1628,591,46,1564000
1015,2097,450,54,2641000
1016,1308,600,44,740000
1017,2168,123,24,416000
1018,3993,259,50,2089000
1019,2586,70,32,1405000
1020,1655,216,86,1122000
1021,401,765,84,152000
1022,4674,399,75,167000
1023,4320,648,85,28000
1024,591,123,24,433000
1025,1913,623,66,1123000
1026,2177,223,84,267000
1027,1633,233,78,3409000
1028,2524,275,96,5033000
1029,3121,105,52,1988000
1030,1895,262,9,1106000
1031,4191,215,76,285000
1032,1136,701,19,2364000
1033,1471,378,37,519000
1034,4601,432,25,345000
1035,3840,483,45,566000
1036,4153,278,85,2015000
1037,3126,279,76,3172000
1038,1491,732,26,201000
1039,1904,659,30,1184000
1040,3760,14,26,1184000
1041,3358,410,21,1197000
1042,4194,430,55,1130000
1043,2595,77,8,12000
1044,968,17,35,2615000
1045,840,491,49,109000
1046,2862,19,73,15000
1047,548,650,57,703000
1048,2674,600,29,693000
1049,4176,789,23,1842000
1050,1284,681,16,829000
1051,3799,301,58,554000
1052,1678,635,82,2379000
1053,3236,351,98,47000
1054,4909,461,17,1804000
1055,982,526,58,77000
1056,3225,715,39,179000
1057,4415,288,9,118000
1058,381,682,45,319000
1059,437,412,87,363000
1060,3113,117,7,337000
1061,3701,342,15,969000
1062,3305,796,18,1068000
1063,2077,665,25,889000
1064,3615,435,29,197000
1065,448,314,28,2200000
1066,2399,117,39,327000
1067,3334,460,37,655000
1068,933,454,71,840000
1069,3802,353,72,554000
1070,3663,480,97,1237000
1071,4489,30,46,1592000
1072,2591,49,64,672000
1073,4518,126,18,757000
1074,1602,312,46,1248000
1075,1040,85,40,20000
1076,1896,345,99,1721000
1077,341,247,95,1216000
1078,825,702,71,1445000
1079,3525,379,90,104000
1080,892,325,83,885000
1081,4304,30,17,1598000
1082,766,782,36,3346000
1083,456,689,40,2349000
1084,3833,118,61,85000
1085,301,402,13,108000
1086,3013,658,59,1294000
1087,133,234,95,3475000
1088,2424,393,60,2328000
1089,736,72,32,1162000
1090,443,703,70,1586000
1091,2532,332,9,294000
1092,1866,685,45,730000
1093,204,33,16,419000
1094,1917,577,50,143000
1095,2741,661,30,3530000
1096,3518,336,44,60000
1097,4329,537,79,316000
1098,3837,266,13,1029000
1099,2965,795,8,1043000
1100,3533,589,49,879000
1101,4350,195,10,792000
1102,4254,633,31,331000
1103,588,610,6,2733000
1104,3086,410,38,1584000
1105,339,30,59,1169000
1106,4248,200,53,771000
1107,3011,342,67,790000
1108,3038,551,69,44000
1109,4356,611,28,512000
1110,1041,206,62,229000
1111,1101,79,26,3003000
1112,661,459,28,151000
1113,2141,61,48,113000
1114,4309,153,80,741000
1115,3943,69,90,174000
1116,587,788,87,618000
1117,2435,188,8,217000
1118,4284,773,95,1204000
1119,3288,510,8,149000
1120,2635,581,26,355000
1121,456,157,68,1907000
1122,4638,362,93,3496000
1123,3913,242,23,1759000
1124,1166,293,12,227000
1125,3485,581,33,342000
1126,4398,561,45,691000
1127,3282,598,42,830000
1128,1979,487,42,3103000
1129,1390,68,38,116000
1130,4550,129,12,241000
1131,52,476,63,206000
1132,4009,109,95,3305000
1133,462,19,78,17000
1134,2632,547,38,347000
